Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	4	2	2	2	2	0
0.00068	8	4	4	2	2	0
0.00136	8	5	4	2	2	0
0.00202	14	8	6	3	3	0
0.00269	17	11	7	4	3	0
0.00336	21	13	9	4	3	0
0.00338	21	14	9	4	3	0
0.00403	23	15	10	4	3	0
0.00405	27	17	12	4	3	0
0.00408	29	18	13	4	3	0
0.00471	33	22	15	4	3	0
0.00473	35	23	16	4	3	0
0.00477	37	24	17	4	3	0
0.00539	41	26	19	4	3	0
0.00541	43	27	20	4	3	0.00181287
0.00607	45	28	21	4	3	-0.0101978
0.0061	45	29	21	4	3	-0.0217944
0.00613	48	30	22	4	3	-0.0240555
0.00674	52	32	24	4	3	-0.0262409
0.00677	52	33	24	4	3	-0.0233098
0.00681	54	34	25	4	3	-0.0203784
0.00742	56	35	26	4	3	-0.0227227
0.00745	59	37	27	4	3	-0.0250667
0.00811	67	41	31	4	3	-0.0274023
0.00877	73	47	33	4	3	-0.0297343
0.00879	75	49	33	4	3	-0.0320791
0.00882	78	51	34	4	4	-0.0234239
0.00947	81	56	34	4	4	-0.0144817
0.00949	84	57	35	4	4	-0.00520974
0.00966	84	58	35	4	4	0.00437683
0.00973	85	59	35	4	4	0.014312
0.01016	87	62	35	6	4	0.0054972
0.01019	87	63	35	6	4	-0.0031602
0.01082	87	64	35	6	4	-0.0153995
0.01084	87	66	35	6	4	-0.0274241
0.01086	92	69	37	6	5	-0.0289509
0.01089	94	70	38	6	5	-0.0305084
0.01091	94	71	38	6	5	-0.0258336
0.01148	97	73	39	6	5	-0.0210219
0.0115	100	74	40	6	5	-0.0161104
0.01152	102	76	41	6	5	-0.0110839
0.01157	102	77	41	6	5	-0.0120082
0.01179	104	78	42	6	5	-0.00640029
0.01217	106	80	43	6	5	-0.000814511
0.01219	109	81	44	6	5	0.00479392
0.01221	109	82	44	6	5	0.009859
0.01223	110	83	44	6	5	0.0239328
0.01225	112	86	43	6	6	0.0458494
0.01228	114	88	44	6	6	0.0698858
0.01234	116	89	45	6	6	0.0954718
0.01286	116	90	45	6	6	0.117449
0.01288	120	95	46	8	6	0.125068
0.0129	122	98	47	8	6	0.132986
0.01293	122	99	47	8	6	0.139495
0.01295	122	100	47	8	6	0.145906
0.01353	124	105	46	8	6	0.150913
0.01355	127	108	46	10	6	0.136892
0.01357	129	109	47	10	6	0.127549
0.0136	129	110	47	10	6	0.118065
0.01362	133	115	48	10	6	0.110918
0.01375	133	116	48	10	6	0.1023
0.01421	134	118	48	10	6	0.0940711
0.01423	136	120	48	10	6	0.0823515
0.01425	136	121	48	10	6	0.0713421
0.01427	137	124	48	11	6	0.0555962
0.01429	137	126	48	11	6	0.0409592
0.01431	139	128	48	11	6	0.0325806
0.01435	142	129	49	11	6	0.0272622
0.01445	142	130	49	11	6	0.0195428
0.01488	142	131	49	11	6	0.0121241
0.0149	148	135	51	11	7	0.0213979
0.01492	152	144	51	12	7	0.0231514
0.01494	155	155	51	14	8	0.0239528
0.01496	155	156	51	14	8	0.0222055
0.01498	156	157	51	14	8	0.0231541
0.015	156	159	51	14	8	0.0209744
0.01502	156	160	51	14	8	0.0188085
0.01504	156	162	51	14	8	0.0166562
0.01506	158	163	52	14	8	0.0225908
0.01559	164	168	55	14	8	0.0737266
0.01561	173	179	55	16	9	0.0729345
0.01563	175	184	55	16	9	0.0721391
0.01565	175	186	55	16	9	0.0713403
0.01567	176	188	55	16	9	0.0705381
0.0157	177	191	55	16	9	0.0680097
0.01572	178	193	55	17	9	0.0599437
0.01625	179	196	55	17	9	0.0523232
0.01628	180	202	55	17	10	0.0486027
0.0163	182	207	55	19	10	0.040833
0.01632	185	211	55	20	12	0.038731
0.01634	185	215	55	20	12	0.0366159
0.01637	185	218	55	20	12	0.0344875
0.0164	186	222	55	20	12	0.0323456
0.01642	186	223	55	20	12	0.0301902
0.01648	186	224	55	20	12	0.0280212
0.0165	186	225	55	20	12	0.0261348
0.01685	186	226	55	20	12	0.0250764
0.01694	186	227	55	20	12	0.0228122
0.01696	189	231	55	20	13	0.0214359
0.01698	192	238	54	22	14	-0.00401326
0.017	193	245	54	22	15	-0.00329705
0.01702	195	255	54	22	16	-0.000219854
0.01704	196	262	54	23	16	-0.000809954
0.01706	198	266	55	23	16	0.0241353
0.01708	198	270	55	23	16	0.0231483
0.0171	198	271	55	23	16	0.022142
0.01716	200	272	56	23	16	0.0536751
0.01728	200	273	56	23	16	0.0524953
0.01762	205	276	57	23	16	0.0961773
0.01764	207	280	57	23	16	0.0940578
0.01766	209	288	57	24	16	0.0894471
0.01768	210	301	57	24	17	0.0865562
0.0177	214	310	57	25	20	0.0887974
0.01772	216	315	58	25	20	0.15054
0.01774	218	317	58	25	21	0.154105
0.01776	219	322	58	25	21	0.15642
0.01778	220	323	58	25	21	0.157574
0.0178	221	326	58	25	21	0.159594
0.01783	221	327	58	25	21	0.161663
0.01791	221	328	58	25	21	0.163048
0.0183	221	329	58	25	21	0.165137
0.01832	223	333	58	26	22	0.166794
0.01834	226	343	58	27	23	0.168099
0.01836	229	356	58	27	24	0.171088
0.01838	231	365	58	27	25	0.175734
0.0184	232	370	58	27	26	0.183106
0.01842	236	380	58	28	26	0.187886
0.01844	236	383	58	28	26	0.189981
0.01846	237	386	58	29	26	0.190645
0.0185	237	389	58	29	26	0.190899
0.01852	237	393	58	29	26	0.191154
0.01856	238	394	58	29	26	0.191411
0.01899	239	396	58	29	26	0.191671
0.01903	241	403	58	29	27	0.193554
0.01905	244	415	59	30	27	0.274429
0.01907	249	429	59	31	29	0.338855
0.01909	250	444	59	31	30	0.405715
0.01911	253	451	59	32	31	0.476143
0.01913	256	457	59	33	32	0.547384
0.01916	256	461	59	33	32	0.618914
0.01918	256	463	59	33	32	0.689011
0.0192	256	464	59	33	32	0.761066
0.01923	256	465	59	33	32	0.83482
0.01925	257	466	59	34	32	0.910027
0.01937	260	467	60	34	32	1.08756
0.01944	260	468	60	34	32	1.16507
0.01968	260	469	60	34	32	1.2431
0.01972	262	474	60	34	32	1.32165
0.01974	262	478	60	34	32	1.39855
0.01976	272	498	62	68	17	1.45661
0.01978	273	511	61	68	17	1.17967
0.0198	275	521	61	70	17	1.06426
0.01982	276	527	61	71	17	0.972805
0.01984	277	530	61	72	17	0.897881
0.01986	278	534	61	72	17	0.836982
0.01988	278	537	61	72	17	0.786507
0.0199	282	542	62	73	17	0.876264
0.01992	283	544	62	74	17	0.837783
0.01994	283	545	62	74	17	0.80502
0.01998	284	547	62	75	17	0.775582
0.02037	285	548	62	75	17	0.749796
0.02039	286	554	62	75	17	0.72702
0.02042	287	558	62	76	17	0.706386
0.02044	288	574	61	76	17	0.554359
0.02046	293	587	60	79	17	0.430055
0.02048	296	602	60	80	17	0.426781
0.0205	298	612	60	81	17	0.42358
0.02052	299	620	60	81	17	0.419341
0.02054	300	629	60	81	17	0.41577
0.02056	300	636	60	81	17	0.412255
0.02058	300	641	60	81	17	0.408794
0.0206	301	647	60	81	17	0.406527
0.02062	301	649	60	81	17	0.404859
