genotype,consensus,region,threshold,score
1a,0.01,core,0.00527,1
1a,0.01,e1,0.00879,1.0003
1a,0.01,e2,0.00686,1.26758
1a,0.01,ns2,0.00311,1.43148
1a,0.01,ns3,0.00208,1.52187
1a,0.01,ns4a,N/A,N/A
1a,0.01,ns4b,0.02194,1
1a,0.01,ns5a,0.00264,1.02829
1a,0.01,ns5b,0.00643,1.00007
1a,0.01,p7,0.0107,1.00091
1a,0.01,whole,0.02498,1
1a,0.02,core,0.00353,1
1a,0.02,e1,0.00875,1.00001
1a,0.02,e2,0.00373,1.09166
1a,0.02,ns2,0.02999,1.00001
1a,0.02,ns3,0.0016,1.06218
1a,0.02,ns4a,N/A,N/A
1a,0.02,ns4b,0.00257,1.03803
1a,0.02,ns5a,N/A,N/A
1a,0.02,ns5b,0.00118,1.07048
1a,0.02,p7,0.00538,1
1a,0.02,whole,0.01635,1
1a,0.05,core,0.00353,1
1a,0.05,e1,0.03579,1
1a,0.05,e2,0.04481,1
1a,0.05,ns2,0.03172,1.00002
1a,0.05,ns3,0.02715,1
1a,0.05,ns4a,N/A,N/A
1a,0.05,ns4b,0.00514,1.0003
1a,0.05,ns5a,0.00374,1.44702
1a,0.05,ns5b,0.00171,1.06694
1a,0.05,p7,0.01667,1
1a,0.05,whole,0.00534,1.02224
1a,0.1,core,0.00882,1
1a,0.1,e1,0.03577,1
1a,0.1,e2,0.05005,1
1a,0.1,ns2,0.03336,1.00002
1a,0.1,ns3,0.02942,1
1a,0.1,ns4a,0.01248,1
1a,0.1,ns4b,0.00514,1.0003
1a,0.1,ns5a,0.00374,1.44161
1a,0.1,ns5b,0.01352,1.00007
1a,0.1,p7,0.02272,1
1a,0.1,whole,0.00802,1.01229
1a,0.25,core,N/A,N/A
1a,0.25,e1,0.03577,1
1a,0.25,e2,0.01674,1.02369
1a,0.25,ns2,0.00464,1.03521
1a,0.25,ns3,0.00713,1.00379
1a,0.25,ns4a,N/A,N/A
1a,0.25,ns4b,0.00386,1.00482
1a,0.25,ns5a,0.00375,1.71803
1a,0.25,ns5b,0.00118,1.2412
1a,0.25,p7,0.00538,1
1a,0.25,whole,0.00339,1.6157
1a,0.2,core,N/A,N/A
1a,0.2,e1,0.03577,1
1a,0.2,e2,0.05883,1
1a,0.2,ns2,0.03835,1.00002
1a,0.2,ns3,0.00266,1.02384
1a,0.2,ns4a,0.01248,1
1a,0.2,ns4b,0.00514,1.0003
1a,0.2,ns5a,0.00375,1.55874
1a,0.2,ns5b,0.00114,1.35174
1a,0.2,p7,0.00538,1
1a,0.2,whole,0.00326,1.36917
1b,0.01,core,N/A,N/A
1b,0.01,e1,N/A,N/A
1b,0.01,e2,N/A,N/A
1b,0.01,ns2,N/A,N/A
1b,0.01,ns3,N/A,N/A
1b,0.01,ns4a,N/A,N/A
1b,0.01,ns4b,N/A,N/A
1b,0.01,ns5a,N/A,N/A
1b,0.01,ns5b,N/A,N/A
1b,0.01,p7,N/A,N/A
1b,0.01,whole,N/A,N/A
1b,0.02,core,N/A,N/A
1b,0.02,e1,N/A,N/A
1b,0.02,e2,N/A,N/A
1b,0.02,ns2,N/A,N/A
1b,0.02,ns3,N/A,N/A
1b,0.02,ns4a,N/A,N/A
1b,0.02,ns4b,0.02,1
1b,0.02,ns5a,N/A,N/A
1b,0.02,ns5b,N/A,N/A
1b,0.02,p7,N/A,N/A
1b,0.02,whole,N/A,N/A
1b,0.05,core,N/A,N/A
1b,0.05,e1,N/A,N/A
1b,0.05,e2,N/A,N/A
1b,0.05,ns2,N/A,N/A
1b,0.05,ns3,N/A,N/A
1b,0.05,ns4a,N/A,N/A
1b,0.05,ns4b,N/A,N/A
1b,0.05,ns5a,N/A,N/A
1b,0.05,ns5b,N/A,N/A
1b,0.05,p7,N/A,N/A
1b,0.05,whole,N/A,N/A
1b,0.1,core,0.02238,1
1b,0.1,e1,N/A,N/A
1b,0.1,e2,N/A,N/A
1b,0.1,ns2,N/A,N/A
1b,0.1,ns3,N/A,N/A
1b,0.1,ns4a,N/A,N/A
1b,0.1,ns4b,N/A,N/A
1b,0.1,ns5a,N/A,N/A
1b,0.1,ns5b,N/A,N/A
1b,0.1,p7,0.04064,1
1b,0.1,whole,N/A,N/A
1b,0.25,core,N/A,N/A
1b,0.25,e1,N/A,N/A
1b,0.25,e2,N/A,N/A
1b,0.25,ns2,N/A,N/A
1b,0.25,ns3,N/A,N/A
1b,0.25,ns4a,N/A,N/A
1b,0.25,ns4b,N/A,N/A
1b,0.25,ns5a,N/A,N/A
1b,0.25,ns5b,N/A,N/A
1b,0.25,p7,N/A,N/A
1b,0.25,whole,N/A,N/A
1b,0.2,core,N/A,N/A
1b,0.2,e1,N/A,N/A
1b,0.2,e2,N/A,N/A
1b,0.2,ns2,N/A,N/A
1b,0.2,ns3,N/A,N/A
1b,0.2,ns4a,N/A,N/A
1b,0.2,ns4b,N/A,N/A
1b,0.2,ns5a,N/A,N/A
1b,0.2,ns5b,N/A,N/A
1b,0.2,p7,N/A,N/A
1b,0.2,whole,N/A,N/A
2a,0.01,core,N/A,N/A
2a,0.01,e1,N/A,N/A
2a,0.01,e2,N/A,N/A
2a,0.01,ns2,N/A,N/A
2a,0.01,ns3,N/A,N/A
2a,0.01,ns4a,N/A,N/A
2a,0.01,ns4b,N/A,N/A
2a,0.01,ns5a,N/A,N/A
2a,0.01,ns5b,N/A,N/A
2a,0.01,p7,N/A,N/A
2a,0.01,whole,N/A,N/A
2a,0.02,core,N/A,N/A
2a,0.02,e1,N/A,N/A
2a,0.02,e2,N/A,N/A
2a,0.02,ns2,N/A,N/A
2a,0.02,ns3,N/A,N/A
2a,0.02,ns4a,N/A,N/A
2a,0.02,ns4b,N/A,N/A
2a,0.02,ns5a,N/A,N/A
2a,0.02,ns5b,N/A,N/A
2a,0.02,p7,N/A,N/A
2a,0.02,whole,N/A,N/A
2a,0.05,core,N/A,N/A
2a,0.05,e1,N/A,N/A
2a,0.05,e2,N/A,N/A
2a,0.05,ns2,N/A,N/A
2a,0.05,ns3,N/A,N/A
2a,0.05,ns4a,N/A,N/A
2a,0.05,ns4b,N/A,N/A
2a,0.05,ns5a,N/A,N/A
2a,0.05,ns5b,N/A,N/A
2a,0.05,p7,N/A,N/A
2a,0.05,whole,N/A,N/A
2a,0.1,core,N/A,N/A
2a,0.1,e1,N/A,N/A
2a,0.1,e2,N/A,N/A
2a,0.1,ns2,N/A,N/A
2a,0.1,ns3,N/A,N/A
2a,0.1,ns4a,N/A,N/A
2a,0.1,ns4b,N/A,N/A
2a,0.1,ns5a,N/A,N/A
2a,0.1,ns5b,N/A,N/A
2a,0.1,p7,N/A,N/A
2a,0.1,whole,N/A,N/A
2a,0.25,core,N/A,N/A
2a,0.25,e1,N/A,N/A
2a,0.25,e2,N/A,N/A
2a,0.25,ns2,N/A,N/A
2a,0.25,ns3,N/A,N/A
2a,0.25,ns4a,N/A,N/A
