Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	74	214	7	58	4	0
0.00129	97	560	6	80	5	0
0.00136	98	563	6	80	5	0
0.00217	102	576	6	84	5	0.231361
0.00257	126	931	5	101	8	-0.0327841
0.00259	126	935	5	101	8	-0.0323047
0.00271	126	939	4	101	10	-0.0268472
0.00386	136	1270	5	109	10	-0.0111979
0.00388	137	1298	5	110	10	-0.00651712
0.00433	138	1303	5	111	10	-0.000843486
0.00435	139	1305	5	112	10	-0.00136151
0.00514	143	1519	5	115	10	-0.00460291
0.00516	147	1611	5	119	10	-0.00921832
0.00518	147	1620	5	119	10	-0.0132226
0.00542	148	1622	5	119	11	-0.0120006
0.00643	149	1786	5	120	11	-0.0105925
0.00645	151	1919	5	121	11	-0.0087641
0.00647	151	1928	5	121	11	-0.00686048
0.00649	151	1929	5	121	11	-0.00699238
0.00651	151	1934	5	121	11	-0.00615344
0.00655	151	1935	5	121	11	-0.00511975
0.00772	152	2080	5	122	11	-0.0045443
0.00774	155	2189	5	125	11	-0.00533537
0.00776	155	2205	5	125	11	-0.0061136
0.00778	155	2206	5	125	11	-0.00687931
0.00781	155	2207	5	125	11	-0.00744556
0.0087	155	2209	5	125	11	-0.00744556
0.00877	155	2210	5	125	11	-0.00744556
0.00901	155	2273	5	125	11	-0.00744556
0.00903	156	2419	5	125	11	-0.00744556
0.00905	156	2465	5	125	11	-0.00744556
0.00907	156	2470	5	125	11	-0.00744556
0.0091	156	2472	5	125	11	-0.00744556
0.01031	156	2515	5	125	11	-0.00744556
0.01033	156	2623	5	125	11	-0.00744556
0.01035	156	2656	5	125	11	-0.00744556
0.01037	156	2671	5	125	11	-0.00744556
0.0104	156	2675	5	125	11	-0.00744556
0.01091	156	2676	5	125	11	-0.0071954
0.01097	156	2677	5	125	11	-0.00469387
0.01161	156	2700	5	125	11	-0.00219234
0.01163	157	2770	5	126	11	-0.000143181
0.01165	157	2801	4	135	11	-0.00686331
0.01167	157	2813	4	135	11	-0.00876602
0.01169	157	2815	4	135	11	-0.0105971
0.01171	157	2817	4	135	11	-0.0101024
0.0123	157	2818	4	135	11	-0.00755456
0.0129	157	2824	4	135	11	-0.00477508
0.01292	157	2850	3	144	11	-0.00582462
0.01294	159	2904	3	146	11	-0.00757034
0.01296	160	2934	3	147	11	-0.00963673
0.01298	160	2942	3	147	11	-0.0116182
0.013	160	2945	3	147	11	-0.0121009
0.01302	160	2946	3	147	11	-0.0122607
0.01307	160	2947	3	147	11	-0.0122607
0.01422	160	2961	3	147	11	-0.0122607
0.01424	160	3002	3	147	11	-0.012048
0.01426	160	3026	3	147	11	-0.0118353
0.01428	160	3050	3	147	11	-0.0116226
0.0143	161	3055	3	148	11	-0.0113582
0.01432	161	3061	3	148	11	-0.0110947
0.01552	161	3067	3	148	11	-0.0108322
0.01554	161	3083	2	150	11	-0.0113143
0.01556	161	3110	2	150	11	-0.0116323
0.01558	161	3138	2	150	11	-0.0119481
0.0156	163	3150	3	150	11	-0.0122607
0.01562	163	3154	3	150	11	-0.0122607
0.01565	163	3156	3	150	11	-0.0122607
0.01567	163	3158	3	150	11	-0.0122607
0.01683	163	3164	3	150	11	-0.0122607
0.01685	163	3173	3	150	11	-0.0122607
0.01687	163	3187	3	150	11	-0.0122607
0.01689	163	3198	3	150	11	-0.0122607
0.01691	163	3212	3	150	11	-0.0122607
0.01693	163	3215	3	150	11	-0.0122607
0.01696	163	3217	3	150	11	-0.0122607
0.017	163	3218	3	150	11	-0.0122607
0.01745	163	3219	3	150	11	-0.0122607
0.01749	163	3220	3	150	11	-0.0122607
0.01814	163	3225	3	150	11	-0.0122607
0.01816	163	3229	3	150	11	-0.0122607
0.01818	163	3237	3	150	11	-0.0122607
0.0182	163	3248	3	150	11	-0.0122607
0.01822	163	3259	3	150	11	-0.0122607
0.01824	163	3267	3	150	11	-0.0122607
0.01826	163	3269	3	150	11	-0.0122607
0.0183	163	3272	3	150	11	-0.0122607
0.01832	163	3273	3	150	11	-0.0122607
0.01878	163	3274	3	150	11	-0.0118438
0.01945	163	3276	3	150	11	-0.0114269
0.01947	163	3282	3	150	11	-0.0108015
0.01949	163	3288	2	152	11	-0.0109114
0.01951	163	3301	2	152	11	-0.0110194
0.01953	164	3311	2	153	11	-0.0114891
0.01955	164	3315	2	153	11	-0.0119543
0.01957	164	3318	2	153	11	-0.0121083
0.01959	164	3321	2	153	11	-0.0122619
0.01964	164	3322	2	153	11	-0.0122619
0.02077	164	3325	2	153	11	-0.0122619
0.02079	164	3329	2	153	11	-0.0122619
0.02081	164	3337	2	153	11	-0.0122619
0.02083	164	3346	2	153	11	-0.0122619
0.02085	164	3354	2	153	11	-0.0122619
0.02087	164	3359	2	153	11	-0.0122619
0.0209	164	3361	2	153	11	-0.0122619
0.02093	164	3362	2	153	11	-0.0122619
0.02096	164	3363	2	153	11	-0.0122619
0.021	164	3364	2	153	11	-0.0122619
0.02194	164	3365	2	153	11	0.325159
0.02207	164	3367	2	153	11	0.662579
0.02209	164	3369	2	153	11	1
0.02212	164	3373	1	164	0	0.193053
0.02214	164	3380	1	164	0	0.0668777
0.02216	164	3390	1	164	0	0.0155685
0.02218	164	3392	1	164	0	-0.0122619
0.0222	164	3396	1	164	0	-0.0122619
0.02223	164	3403	1	164	0	-0.0122619
0.02225	164	3406	1	164	0	-0.0122619
0.02228	164	3408	1	164	0	-0.0122619
0.02231	164	3409	1	164	0	-0.0122619
0.02335	164	3410	1	164	0	-0.0122619
0.02338	164	3412	1	164	0	-0.0122619
0.02342	164	3419	1	164	0	-0.0122619
0.02344	164	3423	1	164	0	-0.0120712
0.02346	164	3428	1	164	0	-0.0118805
0.02348	164	3433	1	164	0	-0.0116899
0.0235	165	3442	1	165	0	-0.0118335
0.02352	165	3446	1	165	0	-0.0119767
0.02354	165	3447	1	165	0	-0.0121195
0.02357	165	3450	1	165	0	-0.0122619
0.02429	165	3451	1	165	0	-0.0122619
0.02474	165	3454	1	165	0	-0.0122619
0.02477	165	3457	1	165	0	-0.0122619
0.02479	165	3472	1	165	0	-0.0122619
0.02481	165	3480	1	165	0	-0.0122619
0.02483	165	3492	1	165	0	-0.0122619
0.02485	165	3497	1	165	0	-0.0122619
0.02487	165	3501	1	165	0	-0.0122619
0.02489	165	3502	1	165	0	-0.0122619
0.02491	165	3506	1	165	0	-0.0122619
0.02493	165	3508	1	165	0	-0.0122619
0.02495	165	3509	1	165	0	-0.0122619
0.02497	165	3510	1	165	0	-0.0122619
0.02535	165	3512	1	165	0	-0.0122619
0.02606	165	3513	1	165	0	-0.0122619
0.02608	165	3521	1	165	0	-0.0122619
0.0261	165	3533	1	165	0	-0.0122619
0.02612	165	3543	1	165	0	-0.0122619
0.02614	165	3553	1	165	0	-0.0122619
0.02616	165	3559	1	165	0	-0.0122619
0.02618	165	3561	1	165	0	-0.0122619
0.0262	165	3570	1	165	0	-0.0122619
0.02622	165	3577	1	165	0	-0.0122619
0.02624	165	3580	1	165	0	-0.0122619
0.02626	165	3584	1	165	0	-0.0122619
0.02628	165	3587	1	165	0	-0.0122619
0.0263	165	3589	1	165	0	-0.0122619
0.02632	165	3590	1	165	0	-0.0122619
0.02646	165	3591	1	165	0	-0.0122619
0.02741	165	3594	1	165	0	-0.0122619
0.02743	165	3604	1	165	0	-0.0122619
0.02745	165	3611	1	165	0	-0.0122619
0.02747	165	3627	1	165	0	-0.0122619
0.02749	165	3639	1	165	0	-0.0122619
0.02751	165	3648	1	165	0	-0.0122619
0.02753	165	3649	1	165	0	-0.0122619
0.02755	165	3653	1	165	0	-0.0122619
0.02757	165	3656	1	165	0	-0.0122619
0.02759	165	3657	1	165	0	-0.0122619
0.02763	165	3658	1	165	0	-0.0122619
0.02765	165	3659	1	165	0	-0.0122619
0.02772	165	3660	1	165	0	-0.0122619
0.02858	165	3662	1	165	0	-0.0122619
0.02872	165	3663	1	165	0	-0.0122619
0.02874	165	3669	1	165	0	-0.0122619
0.02876	165	3674	1	165	0	-0.0122619
0.02878	165	3684	1	165	0	-0.0122619
0.0288	165	3697	1	165	0	-0.0122619
0.02882	165	3710	1	165	0	-0.0122619
0.02884	165	3719	1	165	0	-0.0122619
0.02886	165	3732	1	165	0	-0.0122619
0.02888	165	3739	1	165	0	-0.0122619
0.0289	165	3741	1	165	0	-0.0122619
0.02892	165	3746	1	165	0	-0.043531
0.02895	165	3749	1	165	0	-0.0748002
0.02897	165	3750	1	165	0	0
