Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	4	2	2	2	2	0
0.00146	6	3	3	2	2	0
0.0017	6	4	3	2	2	0
0.00177	7	5	3	3	2	0
0.0019	10	6	4	4	2	0
0.00204	10	7	4	4	2	0
0.00213	11	8	4	5	2	0
0.00215	12	10	4	6	2	0
0.00237	13	11	4	7	2	0
0.00253	16	12	5	8	2	0
0.00268	16	13	5	8	2	0.0324386
0.00271	19	14	6	9	2	-0.0310912
0.00282	19	15	6	9	2	-0.0809514
0.00291	20	17	6	9	3	-0.102856
0.00294	20	18	6	9	3	-0.119534
0.00299	20	19	6	9	3	-0.13127
0.00305	21	21	6	9	3	-0.142388
0.00307	23	23	6	9	5	-0.138944
0.00309	24	24	6	9	6	-0.130581
0.00315	25	25	6	9	6	-0.119587
0.00317	28	26	7	9	7	-0.101815
0.00322	28	27	7	9	7	-0.0796406
0.00326	28	28	7	9	7	-0.0488611
0.00329	29	29	7	10	7	-0.0106204
0.00333	30	30	7	11	7	0.016941
0.00342	30	31	6	13	7	0.0400571
0.00349	30	32	6	13	7	0.0663658
0.00355	33	33	7	14	7	0.0936001
0.00358	33	34	7	14	7	0.0983389
0.0036	33	35	7	14	7	0.0992188
0.00362	33	36	7	14	7	0.102096
0.00367	34	37	7	15	7	0.0983071
0.00374	34	38	7	15	7	0.0967102
0.00383	35	40	7	16	7	0.0929281
0.00391	36	41	7	17	7	0.0877812
0.00395	36	42	7	17	7	0.0851303
0.00406	36	43	7	17	7	0.0866725
0.00409	37	44	7	18	7	0.157683
0.00413	39	46	8	18	7	0.205299
0.00417	40	48	8	19	7	0.242266
0.00419	41	49	8	20	7	0.275497
0.00434	42	50	8	21	7	0.304826
0.00436	43	52	8	22	7	0.330772
0.0044	44	53	8	23	7	0.350801
0.00442	44	55	8	23	7	0.374367
0.00445	46	56	9	23	7	0.469246
0.00453	46	58	9	23	7	0.492909
0.00455	46	59	8	30	3	0.273946
0.00458	47	60	8	30	4	0.211679
0.00465	47	62	8	30	4	0.162789
0.00467	48	63	8	31	4	0.121735
0.00471	49	65	8	32	4	0.0858801
0.00473	49	66	8	32	4	0.0563439
0.00475	49	69	8	32	4	0.0315895
0.00484	50	71	8	33	4	0.00879895
0.00486	50	73	8	33	4	-0.0150425
0.00488	50	75	8	33	4	-0.036092
0.00491	51	77	8	33	5	-0.0487842
0.00493	52	79	8	33	5	-0.0454761
0.00496	53	81	8	34	5	-0.049057
0.00505	54	82	8	35	5	-0.053341
0.00507	54	84	8	35	5	-0.0571102
0.00509	56	86	9	35	5	0.00950945
0.00513	56	87	9	35	5	0.00615339
0.00517	56	90	9	35	5	0.00271317
0.00519	57	94	9	35	6	0.00639151
0.00521	57	95	9	35	6	0.0103072
0.00523	58	97	9	35	7	0.0177939
0.00526	59	99	9	36	7	0.0167153
0.00529	59	102	9	36	7	0.0159777
0.00531	60	105	9	37	7	0.0148051
0.00533	61	106	9	37	7	0.0141548
0.00539	61	108	9	37	7	0.0134695
0.00544	62	109	9	37	7	0.0131746
