Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	80	154	19	16	9	0
0.00176	128	659	6	72	29	0
0.00351	142	918	6	78	34	0
0.00353	156	1403	5	88	37	0.793432
0.00527	163	1786	5	130	12	0.279134
0.00529	164	1810	5	131	12	0.11655
0.00531	165	2207	5	132	12	0.0298764
0.00703	168	2299	5	134	12	-0.0238427
0.00705	168	2585	5	134	12	-0.0249301
0.00707	168	2592	5	134	12	-0.0256032
0.0071	168	2830	5	134	12	-0.0248223
0.0088	169	2853	5	135	12	-0.0241719
0.00882	169	2962	5	135	12	-0.023524
0.00884	171	3068	5	137	12	-0.0241962
0.00886	171	3089	5	137	12	-0.0115954
0.0089	171	3168	5	137	12	0.00130572
0.01057	174	3182	6	138	12	0.0142586
0.01059	174	3203	5	150	11	0.00362629
0.01061	174	3276	5	150	11	-0.00555545
0.01064	176	3336	5	152	11	-0.0157091
0.01066	176	3349	5	152	11	-0.0246519
0.01071	177	3386	5	153	11	-0.0257091
0.01234	177	3388	5	153	11	-0.026756
0.01236	177	3417	5	153	11	-0.0271026
0.01238	177	3435	5	153	11	-0.0274481
0.0124	177	3445	5	153	11	-0.0274481
0.01242	177	3476	5	153	11	-0.0274481
0.01244	177	3477	5	153	11	-0.0274481
0.01246	177	3505	5	153	11	-0.0274481
0.01248	177	3509	5	153	11	-0.0265282
0.01254	177	3518	5	153	11	-0.0256083
0.01413	177	3523	5	153	11	-0.0246884
0.01415	177	3552	4	155	11	-0.0253851
0.01417	177	3554	4	155	11	-0.0219646
0.01419	177	3583	4	155	11	-0.0185662
0.01421	177	3584	4	155	11	-0.0147356
0.01423	177	3615	3	164	11	-0.0174908
0.01425	177	3617	3	164	11	-0.0201682
0.01429	178	3646	3	165	11	-0.0235386
0.01439	178	3648	3	165	11	-0.0268065
0.01594	178	3651	3	165	11	-0.0271279
0.01596	178	3669	3	165	11	-0.0274482
0.01598	178	3671	3	165	11	0.315035
0.016	178	3695	3	165	11	0.657517
0.01603	178	3696	3	165	11	1
0.01606	178	3715	2	176	2	0.320185
0.01613	178	3739	2	176	2	0.12218
0.01624	178	3740	2	176	2	0.0282954
0.01772	178	3742	2	176	2	-0.0266485
0.01774	178	3748	2	176	2	-0.0262487
0.01776	179	3753	2	177	2	-0.0265498
0.01778	179	3771	2	177	2	-0.0268501
0.0178	179	3779	2	177	2	-0.0267515
0.01783	179	3811	2	177	2	-0.026653
0.01786	179	3825	2	177	2	-0.0262555
0.0179	180	3833	2	178	2	-0.0265549
0.01793	180	3834	2	178	2	-0.0268535
0.01795	180	3835	2	178	2	-0.0271513
0.01799	180	3852	2	178	2	-0.0274482
0.01811	180	3853	2	178	2	-0.0274482
0.01953	180	3854	2	178	2	-0.0274482
0.01955	180	3860	2	178	2	-0.0274482
0.01957	180	3861	2	178	2	-0.0274482
0.01959	180	3869	2	178	2	-0.0274482
0.01962	180	3883	2	178	2	-0.0274482
0.01964	180	3891	2	178	2	-0.0274482
0.01968	180	3923	2	178	2	-0.0274482
0.01971	180	3927	2	178	2	-0.0274482
0.01975	180	3941	2	178	2	-0.0274482
0.01977	180	3943	2	178	2	-0.0274482
0.01986	180	3969	2	178	2	-0.0274482
0.01989	180	3970	2	178	2	0.0445064
0.02135	180	3975	2	178	2	0.116461
0.02137	180	3977	2	178	2	0.188416
0.0214	180	3998	1	180	0	0.101491
0.02142	180	4001	1	180	0	0.0439714
0.02144	180	4002	1	180	0	0.0030953
0.02146	180	4026	1	180	0	-0.0274482
0.02148	180	4033	1	180	0	-0.0274482
0.0215	180	4040	1	180	0	-0.0274482
0.02154	180	4070	1	180	0	-0.0274482
0.02157	180	4073	1	180	0	-0.0274482
0.02163	180	4085	1	180	0	-0.0274482
0.02174	180	4105	1	180	0	-0.0274482
0.02189	180	4106	1	180	0	-0.0274482
0.02316	180	4108	1	180	0	-0.0274482
0.02319	180	4125	1	180	0	-0.0270573
0.02321	180	4128	1	180	0	-0.0266663
0.02323	180	4131	1	180	0	-0.0262753
0.02325	181	4166	1	181	0	-0.0265698
0.02327	181	4168	1	181	0	-0.0268634
0.02329	181	4172	1	181	0	-0.0271562
0.02332	181	4198	1	181	0	-0.0274482
0.02334	181	4213	1	181	0	-0.0274482
0.0234	181	4240	1	181	0	-0.0274482
0.02342	181	4244	1	181	0	-0.0274482
0.02345	181	4246	1	181	0	-0.0274482
0.02351	181	4264	1	181	0	-0.0274482
0.02355	181	4265	1	181	0	-0.0274482
0.02364	181	4288	1	181	0	-0.0274482
