Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	55	100	9	37	4	0
0.00175	83	183	11	46	7	0
0.00177	84	184	11	46	7	0
0.00296	84	187	11	46	7	0.992775
0.00307	86	202	11	48	7	0.974206
0.00309	90	208	11	52	7	0.918053
0.0032	90	224	11	52	7	0.859248
0.0035	118	427	9	66	18	-0.125545
0.00352	118	430	9	66	18	-0.109811
0.00524	130	618	10	70	22	0.180734
0.00526	136	684	9	80	24	-0.0434086
0.00528	137	765	9	81	24	-0.0561832
0.0053	138	767	8	81	30	-0.0447171
0.00533	139	770	8	81	30	-0.0356724
0.0059	139	773	8	81	30	-0.0195492
0.00593	139	788	8	81	30	-0.000498694
0.00615	139	793	8	81	30	0.0027726
0.00617	140	806	7	84	30	0.000177914
0.0062	140	807	7	84	30	-0.00229725
0.00641	140	812	7	84	30	-0.00472781
0.00643	140	825	7	84	30	-0.00606348
0.00646	140	826	7	84	30	-0.00501199
0.0065	140	831	7	84	30	-0.00582605
0.00655	141	847	7	85	30	-0.0074616
0.00657	141	849	7	85	30	-0.00908748
0.00699	145	974	7	86	31	-0.00746982
0.00701	146	1157	6	87	31	-0.00660947
0.00703	146	1194	6	87	31	-0.00495772
0.00705	146	1242	6	87	31	-0.00329803
0.00707	147	1245	6	88	31	-0.0141228
0.00709	147	1246	6	88	31	-0.0223296
0.00713	147	1247	6	88	31	-0.0304897
0.00875	152	1337	6	89	35	0.299758
0.00877	154	1515	6	91	35	0.642155
0.00879	154	1637	6	91	35	1
0.00881	155	1653	5	127	10	0.388093
0.00883	155	1676	5	127	10	0.170111
0.00885	155	1678	5	127	10	0.0612434
0.00887	156	1692	5	128	10	-0.00555439
0.00889	156	1694	5	128	10	-0.00607701
0.00893	156	1701	5	128	10	-0.00659759
0.00923	156	1702	5	128	10	-0.00711613
0.00925	156	1706	5	128	10	-0.00711613
0.00932	156	1708	5	128	10	-0.00711613
0.00961	156	1709	5	128	10	-0.0151457
0.00964	156	1713	5	128	10	-0.0212933
0.00972	156	1716	5	128	10	-0.0268136
0.01051	157	1785	5	128	11	-0.0185419
0.01053	160	1869	5	131	11	-0.013292
0.01055	161	1994	5	132	11	-0.00900952
0.01057	161	2026	5	132	11	-0.00458291
0.01059	161	2077	5	132	11	-0.00661333
0.01061	161	2086	5	132	11	-0.00711613
0.01065	161	2100	5	132	11	-0.00711613
0.01068	161	2103	5	132	11	-0.00711613
0.0107	161	2104	5	132	11	-0.00711613
0.01077	161	2105	5	132	11	-0.00711613
0.01139	161	2106	5	132	11	-0.00711613
0.01183	161	2108	5	132	11	-0.00711613
0.01186	161	2109	5	132	11	-0.00711613
0.01188	161	2112	5	132	11	-0.00711613
0.01197	161	2120	5	132	11	-0.00711613
0.01227	161	2143	5	132	11	-0.00711613
0.01229	161	2216	5	132	11	-0.00711613
0.01231	163	2302	6	132	11	-0.00711611
0.01233	163	2387	6	132	11	-0.00711611
0.01235	163	2395	6	132	11	-0.00711611
0.01237	163	2402	6	132	11	-0.00711611
0.01239	163	2423	6	132	11	-0.00711611
0.01243	163	2431	6	132	11	-0.00711611
0.01245	163	2434	6	132	11	-0.00711611
0.01252	163	2435	6	132	11	-0.00711611
0.01291	163	2436	6	132	11	-0.00711611
0.01305	163	2437	6	132	11	-0.00711611
0.01308	163	2439	6	132	11	-0.00711611
0.0131	163	2443	6	132	11	-0.00711611
0.01319	163	2444	6	132	11	-0.00644698
0.01321	163	2445	6	132	11	-0.00577785
0.01326	163	2447	6	132	11	-0.0044396
0.01404	164	2458	6	133	11	-0.00427769
0.01406	164	2521	6	133	11	-0.0041164
0.01408	165	2576	6	134	11	-0.00512382
0.0141	165	2638	6	134	11	-0.0061237
0.01412	165	2663	6	134	11	-0.00662083
0.01414	165	2690	6	134	11	-0.00711611
0.01417	165	2692	6	134	11	-0.00711611
0.01419	165	2707	6	134	11	-0.00711611
0.01422	165	2709	6	134	11	-0.00711611
0.01425	165	2713	6	134	11	-0.00711611
0.01428	165	2715	6	134	11	-0.00711611
0.01484	165	2716	6	134	11	-0.00711611
0.01486	165	2718	6	134	11	-0.00711611
0.01492	165	2719	6	134	11	-0.00711611
0.01505	165	2723	6	134	11	-0.00711611
0.01554	165	2724	6	134	11	-0.00645697
0.01581	165	2735	6	134	11	-0.00579783
0.01583	165	2756	6	134	11	-0.00447955
0.01585	166	2803	6	135	11	-0.00431998
0.01587	168	2843	7	135	11	-0.00415986
0.01589	169	2877	7	136	11	-0.00515219
0.01591	169	2916	7	136	11	-0.0061372
0.01593	169	2925	7	136	11	-0.00662698
0.01595	169	2945	7	136	11	-0.00711497
0.01597	169	2952	7	136	11	-0.00711497
0.016	169	2961	7	136	11	-0.00711497
0.01602	169	2973	7	136	11	-0.00711497
0.0161	169	2974	7	136	11	-0.00711497
0.01612	169	2983	7	136	11	-0.00711497
0.01614	169	2984	7	136	11	-0.00711497
0.0162	169	2985	7	136	11	-0.00711497
0.01633	169	2986	7	136	11	-0.00646552
0.01758	169	2998	7	136	11	-0.00581607
0.0176	169	3008	7	136	11	-0.00516662
0.01762	170	3027	6	137	11	-0.00565753
0.01764	170	3071	6	137	11	-0.00614551
0.01766	170	3086	6	137	11	-0.0066317
0.01768	170	3108	6	137	11	-0.00711611
0.0177	170	3136	5	137	11	-0.00711613
0.01772	170	3160	5	137	11	-0.00711613
0.01774	170	3165	5	137	11	-0.00711613
0.01776	170	3166	5	137	11	-0.00711613
0.01778	170	3170	5	137	11	-0.00711613
0.0178	170	3174	5	137	11	-0.00711613
0.01785	170	3178	5	137	11	-0.00711613
