Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	29	41	7	15	4	0
0.00155	51	114	9	26	7	0
0.0031	85	227	14	44	8	0
0.00464	105	373	13	53	14	-1.60568
0.00466	106	411	13	53	15	-1.40423
0.00619	119	526	11	62	19	-1.29667
0.00621	122	631	10	67	19	-0.687554
0.00623	123	639	10	68	19	-1.60336
0.00625	123	640	10	68	19	-2.65251
0.00774	136	784	8	75	28	-1.97273
0.00776	142	867	9	77	28	-1.14701
0.00778	142	944	8	79	28	-0.346353
0.0078	142	948	8	79	28	0.803761
0.00783	142	949	8	79	28	0.856476
0.00929	142	990	8	79	28	1
0.00931	148	1162	9	83	28	0.816883
0.00933	149	1246	9	83	28	0.867809
0.00935	149	1294	9	83	28	0.747448
0.00937	149	1297	9	83	28	0.286998
0.0094	149	1301	8	87	28	-0.467447
0.01085	150	1326	8	87	29	-0.881034
0.01087	157	1440	9	89	32	-0.720985
0.01089	159	1505	8	90	33	-0.408683
0.01091	160	1581	8	91	33	0.00215953
0.01093	160	1602	8	91	33	0.302379
0.01095	160	1611	8	91	33	0.383623
0.01097	160	1614	8	91	33	0.396145
0.011	160	1616	8	91	33	0.226867
0.01242	161	1647	8	92	33	-0.0309018
0.01244	163	1726	9	92	33	-0.287258
0.01246	166	1837	9	93	35	-0.165151
0.01248	166	1892	9	93	35	-0.040791
0.0125	166	1924	9	93	35	0.124569
0.01253	166	1936	9	93	35	0.213479
0.01255	166	1943	9	93	35	0.0567939
0.01398	166	1949	9	93	35	-0.21808
0.014	168	1989	9	94	36	-0.354857
0.01402	170	2083	8	95	37	-0.582559
0.01404	171	2180	8	95	38	-0.608734
0.01406	171	2218	8	95	38	-0.635717
0.01408	171	2252	7	95	40	-0.326669
0.0141	171	2267	7	95	40	-0.0635343
0.01413	171	2269	7	95	40	0.112908
0.01415	171	2272	7	95	40	0.293994
0.01555	171	2274	7	95	40	0.293994
0.01557	171	2298	7	95	40	0.293994
0.01559	171	2356	7	95	40	0.293994
0.01561	171	2421	7	95	40	0.293994
0.01563	171	2476	7	95	40	0.293994
0.01565	171	2531	7	95	40	0.293994
0.01568	171	2533	7	95	40	0.293994
0.0157	171	2548	7	95	40	0.342919
0.01578	171	2549	7	95	40	0.391844
0.01713	171	2551	7	95	40	0.440769
0.01715	172	2573	7	96	40	0.403787
0.01717	173	2627	7	96	40	0.366997
0.01719	173	2665	7	96	40	0.330401
0.01721	173	2741	7	96	40	0.293994
0.01723	173	2760	7	96	40	0.293994
0.01725	173	2787	7	96	40	0.293994
0.01727	173	2794	7	96	40	0.293994
0.01731	173	2798	7	96	40	0.0726671
0.01733	173	2801	7	96	40	-0.14866
0.01873	173	2811	7	96	40	-0.369987
0.01875	173	2851	6	96	42	-0.209992
0.01877	175	2896	7	96	42	-0.0460938
0.01879	177	2931	8	96	42	0.121851
0.01881	177	2958	8	96	42	0.293994
0.01883	177	3010	8	96	42	0.293994
0.01888	177	3028	8	96	42	0.293994
0.01891	177	3029	8	96	42	0.293994
0.01894	177	3030	8	96	42	0.293994
0.02029	177	3032	8	96	42	0.293994
0.02031	177	3041	8	96	42	0.293994
0.02033	177	3051	8	96	42	0.293994
0.02035	177	3088	8	96	42	0.293994
0.02037	177	3119	8	96	42	0.293994
0.02039	177	3175	8	96	42	0.293994
0.02041	177	3193	8	96	42	0.293994
0.02043	177	3198	8	96	42	0.293994
0.02045	177	3229	8	96	42	0.185904
0.02048	177	3230	8	96	42	0.0778144
0.02051	177	3235	8	96	42	-0.0302757
0.0219	178	3238	8	96	43	0.0493696
0.02192	178	3244	8	96	43	0.129952
0.02194	178	3262	8	96	43	0.211488
0.02196	178	3290	8	96	43	0.293994
0.02198	178	3316	8	96	43	0.293994
0.022	178	3323	8	96	43	0.293994
0.02202	178	3360	8	96	43	0.293994
0.02204	178	3373	8	96	43	0.293994
0.02208	178	3388	8	96	43	0.293994
0.02215	178	3389	8	96	43	0.293994
0.02351	178	3391	8	96	43	0.293994
0.02353	178	3399	8	96	43	0.293994
0.02355	178	3412	8	96	43	0.293994
0.02357	178	3419	8	96	43	0.293994
0.02359	178	3452	8	96	43	0.293994
0.02361	178	3473	8	96	43	0.293994
0.02363	178	3485	8	96	43	0.293994
0.02365	178	3495	8	96	43	0.293994
0.02367	178	3503	8	96	43	0.293994
0.02372	178	3509	8	96	43	0.293994
0.02511	178	3515	8	96	43	0.293994
0.02513	178	3523	8	96	43	0.293994
0.02516	178	3549	8	96	43	0.293994
0.02519	178	3561	8	96	43	0.293994
0.02521	178	3581	8	96	43	0.293994
0.02523	178	3601	8	96	43	0.293994
0.02525	178	3605	8	96	43	0.293994
0.02527	178	3607	8	96	43	0.293994
0.02529	178	3614	8	96	43	0.293994
0.02531	178	3616	8	96	43	0.293994
0.02533	178	3618	8	96	43	0.293994
0.02537	178	3622	8	96	43	0.293994
0.02666	178	3623	8	96	43	0.293994
0.02669	178	3624	8	96	43	0.293994
0.02672	178	3630	8	96	43	0.293994
0.02674	178	3637	8	96	43	0.293994
0.02676	178	3646	8	96	43	0.293994
0.02678	178	3659	8	96	43	0.293994
0.0268	178	3667	8	96	43	0.293994
0.02682	178	3675	8	96	43	0.293994
0.02684	178	3686	8	96	43	0.293994
0.02687	178	3695	8	96	43	0.293994
0.02689	178	3699	8	96	43	0.293994
0.02691	178	3701	8	96	43	0.293994
0.02695	178	3703	8	96	43	0.293994
0.02828	178	3705	8	96	43	0.293994
0.02831	178	3706	8	96	43	0.293994
0.02833	178	3708	8	96	43	0.293994
0.02835	178	3715	8	96	43	0.293994
0.02837	178	3721	8	96	43	0.293994
0.0284	178	3734	8	96	43	0.293994
0.02842	178	3743	8	96	43	0.293994
0.02844	178	3748	8	96	43	0.293994
0.02846	178	3758	8	96	43	0.293994
0.02848	178	3761	8	96	43	0.293994
0.0285	178	3766	8	96	43	0.293994
0.02853	178	3772	8	96	43	0.293994
0.02857	178	3773	8	96	43	0.293994
0.02861	178	3774	8	96	43	-4.35388
0.02997	178	3776	8	96	43	-9.00175
0.02999	178	3780	8	96	43	0
