Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	7	6	3	3	2	0
0.00076	18	22	4	11	3	0
0.00151	30	34	7	17	3	0
0.00225	45	61	9	28	3	1.00091
0.003	60	87	11	34	5	0.850931
0.00374	69	119	13	39	5	1.44229
0.00449	84	166	13	50	5	1.08809
0.00451	85	174	13	50	5	0.977463
0.00524	97	219	13	59	7	0.983956
0.00526	98	235	13	60	7	1.01894
0.00599	107	282	11	70	8	0.285605
0.00601	111	315	9	78	8	0.210337
0.00603	111	317	9	78	8	0.089123
0.00674	114	356	9	81	8	-0.0375602
0.00676	116	393	9	83	8	-0.159693
0.0075	121	462	8	88	10	-0.0809189
0.00752	123	489	7	91	10	-0.00450459
0.00754	125	492	7	93	10	0.0710731
0.00825	130	539	7	96	10	0.15932
0.00827	132	594	6	100	10	0.131333
0.00829	132	602	6	100	10	0.123916
0.00901	135	676	5	105	10	0.0770135
0.00903	135	726	5	105	10	0.0501933
0.00905	136	738	5	106	10	0.0519076
0.00907	136	740	5	106	10	0.0739516
0.00909	137	741	5	107	10	0.116655
0.00976	141	783	5	111	10	0.127386
0.00978	145	872	5	115	10	0.106202
0.0098	147	896	5	117	10	0.083054
0.00982	148	899	5	118	10	0.056347
0.01052	150	953	6	118	10	0.0450173
0.01054	153	1015	6	121	10	0.0239088
0.01056	153	1037	6	121	10	0.0416152
0.01058	153	1040	6	121	10	0.0848721
0.01127	153	1060	6	121	10	0.127593
0.01129	160	1142	6	128	10	0.124535
0.01131	163	1203	5	133	10	0.0914029
0.01133	163	1213	5	133	10	0.0598153
0.01202	163	1220	5	133	10	0.0296662
0.01204	165	1268	5	135	10	0.00800789
0.01206	167	1342	6	135	10	0.00593523
0.01208	167	1372	6	135	10	0.00387751
0.0121	167	1378	6	135	10	0.00183504
0.01212	168	1381	6	136	10	-0.00116753
0.01214	168	1382	6	136	10	-0.000192363
0.01278	168	1386	6	136	10	0.000779211
0.0128	168	1431	6	136	10	0.00174721
0.01282	169	1517	6	137	10	-0.00123315
0.01284	169	1540	6	137	10	-0.0042026
0.01286	169	1546	6	137	10	-0.0032308
0.01288	169	1549	6	137	10	0.00166067
0.01355	169	1575	6	137	10	0.00950711
0.01357	172	1644	7	138	10	0.010456
0.01359	173	1701	7	139	10	0.00452863
0.01361	173	1713	7	139	10	-0.00135592
0.01363	173	1722	7	139	10	-0.00719805
0.01365	173	1724	7	139	10	-0.0101034
0.01369	173	1725	7	139	10	-0.0101034
0.01431	173	1742	7	139	10	-0.0101034
0.01433	173	1808	7	139	10	-0.0101034
0.01435	175	1870	8	139	10	-0.0100346
0.01437	175	1889	8	139	10	-0.0100346
0.01439	175	1897	8	139	10	-0.0100346
0.01444	175	1899	8	139	10	-0.0996149
0.01507	175	1907	8	139	10	-0.189195
0.01509	175	1966	8	139	10	-0.278775
0.01511	175	2031	7	139	12	-0.220422
0.01513	175	2066	7	139	12	-0.156689
0.01515	175	2077	7	139	12	-0.0868864
0.01517	175	2084	7	139	12	-0.0101034
0.01519	175	2088	7	139	12	-0.0101034
0.01583	175	2094	7	139	12	-0.0101034
0.01585	175	2124	6	139	12	-0.010109
0.01587	175	2199	6	139	12	-0.010109
0.01589	175	2235	6	139	12	-0.010109
0.01591	177	2249	7	139	12	-0.0101034
0.01593	177	2254	7	139	12	-0.0101034
0.01595	177	2257	7	139	12	-0.0101034
0.01598	177	2258	7	139	12	-0.0101034
0.0166	177	2276	7	139	12	-0.0101034
0.01662	177	2320	7	139	12	-0.0101034
0.01664	177	2378	7	139	12	-0.0101034
0.01666	177	2422	7	139	12	-0.0101034
0.01668	177	2431	7	139	12	-0.0101034
0.0167	177	2438	7	139	12	-0.0101034
0.01672	177	2440	7	139	12	-0.0101034
0.01674	177	2441	7	139	12	-0.0101034
0.0168	177	2442	7	139	12	-0.0101034
0.01736	177	2449	7	139	12	-0.0101034
0.01738	177	2469	7	139	12	-0.0101034
0.0174	177	2526	7	139	12	-0.0101034
0.01742	177	2568	7	139	12	-0.0101034
0.01744	177	2583	7	139	12	-0.0101034
0.01746	177	2588	7	139	12	-0.00623658
0.01749	177	2595	7	139	12	-0.00236981
0.01752	177	2597	7	139	12	0.00149696
0.0181	178	2598	7	140	12	-0.00141874
0.01812	178	2602	7	140	12	-0.00432398
0.01814	178	2621	7	140	12	-0.00721884
0.01816	178	2669	7	140	12	-0.0101034
0.01818	178	2733	7	140	12	-0.0101034
0.0182	179	2764	7	140	12	-0.0101034
0.01822	179	2775	7	140	12	-0.0101034
0.01824	179	2779	7	140	12	-0.0101034
0.01827	179	2782	7	140	12	-0.0101034
0.01889	179	2788	7	140	12	-0.0101034
0.01891	179	2810	7	140	12	-0.0062642
0.01893	179	2843	7	140	12	-0.00242505
0.01895	179	2889	7	140	12	0.0014141
0.01897	180	2913	7	141	12	-0.00148066
0.01899	180	2932	7	141	12	-0.00436512
0.01901	180	2935	7	141	12	-0.00723933
0.01903	180	2938	7	141	12	-0.0101034
0.01965	180	2939	7	141	12	-0.0101034
0.01967	180	2950	7	141	12	-0.0101034
0.01969	180	2968	7	141	12	-0.0101034
0.01971	180	3015	7	141	12	-0.0101034
0.01973	180	3052	7	141	12	-0.0101034
0.01975	180	3068	7	141	12	-0.0101034
0.01977	180	3078	7	141	12	-0.0101034
0.01979	180	3084	7	141	12	-0.0101034
0.01982	180	3087	7	141	12	-0.0101034
0.02042	180	3089	7	141	12	-0.0101034
0.02044	180	3097	7	141	12	-0.0101034
0.02046	180	3119	7	141	12	-0.0101034
0.02048	180	3149	7	141	12	-0.0101034
