Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	120	547	17	51	18	0
0.00533	125	609	14	55	22	0
0.00536	147	1127	9	79	31	0
0.00538	151	1408	6	94	33	-0.0380011
0.01069	154	1494	6	96	34	-0.0464412
0.01072	165	1989	7	100	37	-0.0559539
0.01074	165	1992	7	100	37	-0.0632038
0.0108	167	2238	7	100	39	-0.0579112
0.0109	167	2271	7	100	39	-0.0529508
0.01092	170	2295	8	101	39	-0.0523581
0.01094	171	2300	8	101	40	-0.0478283
0.01608	171	2339	8	101	40	-0.0432902
0.0161	171	2371	8	101	40	-0.0387173
0.01612	171	2372	8	101	40	-0.0316217
0.01616	173	2765	7	105	40	-0.0308639
0.01618	173	2767	7	105	40	-0.0301203
0.01625	175	2855	7	107	40	-0.0347532
0.01627	175	2878	6	109	40	-0.0363335
0.01629	175	2883	6	109	40	-0.0352917
0.01631	176	2890	6	109	41	-0.0303345
0.01634	177	2997	5	119	42	-0.0344315
0.01663	177	3000	5	119	42	-0.037167
0.01665	177	3002	5	119	42	-0.0398494
0.01667	177	3007	5	119	42	-0.0433147
0.01672	177	3009	5	119	42	-0.0425602
0.02151	177	3011	5	119	42	-0.0418056
0.02156	178	3073	5	120	42	-0.0423751
0.02165	178	3103	5	120	42	-0.0450392
0.02167	178	3117	5	120	42	-0.0469598
0.02169	178	3170	5	120	42	-0.0481415
0.02171	179	3341	5	120	43	-0.0451196
0.02173	180	3408	5	121	43	-0.0433577
0.02175	181	3409	5	122	43	-0.0428812
0.02195	181	3410	5	122	43	-0.042403
0.02197	181	3429	5	122	43	-0.0435162
0.02199	181	3446	5	122	43	-0.0440693
0.02201	181	3464	5	122	43	-0.0440693
0.02204	181	3465	5	122	43	-0.0440693
0.02206	181	3483	5	122	43	-0.0440693
0.02208	181	3485	5	122	43	-0.0440693
0.02272	181	3487	5	122	43	0.303954
0.02701	181	3488	5	122	43	0.651977
0.02712	181	3510	5	122	43	1
0.02714	182	3558	4	166	12	0.353637
0.02716	182	3561	4	166	12	0.133624
0.02718	182	3565	4	166	12	0.0227423
0.02723	182	3581	4	166	12	-0.0440693
0.02725	182	3601	4	166	12	-0.0435284
0.02727	182	3627	4	166	12	-0.0429875
0.0273	182	3628	4	166	12	-0.0424465
0.02737	183	3700	4	167	12	-0.0428541
0.02739	183	3706	4	167	12	-0.0432604
0.02741	183	3727	4	167	12	-0.0436655
0.02743	183	3742	4	167	12	-0.0440693
0.02745	183	3748	4	167	12	-0.0440693
0.02749	183	3754	4	167	12	-0.0440693
0.02751	183	3756	4	167	12	-0.0440693
0.02759	183	3757	4	167	12	-0.0440693
0.02778	183	3772	4	167	12	-0.133866
0.02785	183	3777	4	167	12	-0.223663
0.02788	183	3782	4	167	12	0
