Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	76	38	38	2	2	0
0.00068	126	68	61	4	3	0
0.00135	173	97	82	4	4	0
0.00202	215	131	96	10	7	0
0.00204	225	136	101	10	7	0
0.00207	225	137	101	10	7	0
0.00269	270	184	116	13	7	0
0.00271	287	194	124	13	7	0
0.00273	291	196	126	13	7	0
0.00275	293	199	126	13	7	0
0.00336	320	225	135	16	7	0
0.00338	340	242	141	16	8	0
0.0034	347	247	144	16	8	0
0.00344	350	251	145	16	9	0
0.00346	351	253	145	16	9	0
0.00403	368	293	151	16	9	0
0.00405	383	334	156	16	10	0
0.00407	392	344	160	16	10	0
0.00409	393	347	160	16	10	-0.187902
0.00412	396	351	160	16	14	-0.191331
0.00471	422	400	169	16	14	-0.190574
0.00473	430	416	173	16	14	-0.193995
0.00475	432	419	174	16	14	-0.192057
0.00477	432	420	174	16	14	-0.190084
0.00479	432	421	174	16	14	-0.188074
0.00538	457	464	182	16	14	-0.180303
0.0054	468	490	186	16	14	-0.172153
0.00542	478	497	191	16	14	-0.163594
0.00544	481	502	192	16	14	-0.1546
0.0055	482	505	192	16	14	-0.139404
0.00605	492	528	194	16	14	-0.127969
0.00607	503	556	196	17	14	-0.118836
0.00609	514	565	200	17	15	-0.109837
0.00611	516	567	201	17	15	-0.0989237
0.00613	519	569	202	17	15	-0.0874027
0.00616	521	571	203	17	15	-0.0793091
0.00618	523	574	203	17	17	-0.0613568
0.00624	525	576	203	18	17	-0.0441385
0.00673	541	600	208	18	17	-0.0379623
0.00675	568	629	216	18	17	-0.0317121
0.00677	572	641	217	18	17	-0.0254475
0.00679	575	646	218	18	17	-0.0191329
0.00681	584	652	222	18	17	-0.0127388
0.00683	585	655	222	18	17	-0.00633069
0.00688	586	657	222	18	17	-0.00306397
0.0069	587	658	222	18	17	0.00156479
0.0074	596	668	226	18	17	0.00628005
0.00742	611	697	229	18	18	0.0144821
0.00744	620	712	232	18	18	0.0228093
0.00746	620	718	232	18	18	0.0297057
0.00748	622	722	233	18	18	0.0389326
0.00756	623	725	233	19	18	0.0423172
0.00758	623	726	233	19	18	0.0442402
0.00808	631	746	233	20	19	0.0463173
0.0081	644	785	235	23	20	0.0423605
0.00812	648	802	234	24	20	0.0311172
0.00814	652	808	236	24	20	0.0219356
0.00816	652	812	236	24	20	0.0128282
0.00818	656	815	237	24	20	0.003876
0.00822	658	816	238	24	20	-0.00495127
0.00829	658	817	238	24	20	-0.0136904
0.00833	660	819	239	24	20	-0.0222773
0.00875	663	826	239	24	22	-0.0247121
0.00877	686	871	246	25	22	-0.0304201
0.00879	694	894	247	25	22	-0.0332421
0.00881	701	909	246	25	22	-0.0352763
0.00883	706	913	248	25	22	-0.0386185
0.00885	709	917	249	25	23	-0.0393087
0.00887	717	921	253	25	23	-0.0397246
0.00889	717	922	253	25	23	-0.0404733
0.00943	721	937	253	27	26	-0.0362419
0.00945	740	983	256	28	27	-0.0316009
0.00947	761	1021	263	28	27	-0.0262571
0.00949	765	1038	264	28	27	-0.0192485
0.00951	765	1041	264	28	27	-0.0126094
0.00954	767	1044	265	28	27	-0.00564624
0.00956	770	1047	266	28	27	0.00143821
0.00958	772	1049	267	28	27	0.00864758
0.00963	774	1050	268	28	27	0.0159857
0.00966	775	1052	268	28	27	0.0231617
0.00973	776	1053	268	28	27	0.0304528
0.01011	785	1073	271	28	28	0.0377258
0.01013	798	1106	274	31	28	0.0401196
0.01015	811	1142	276	33	29	0.040394
0.01017	821	1162	279	33	29	0.0414129
