Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	12	6	6	2	2	0
0.00068	25	13	12	3	2	0
0.00135	37	20	18	3	2	0
0.00202	45	24	22	3	2	0
0.00204	49	26	24	3	2	0
0.00207	51	27	25	3	2	0
0.00269	63	35	30	3	3	0
0.00271	65	37	31	3	3	0
0.00275	68	38	32	3	3	0
0.00336	76	42	36	3	3	0
0.00338	81	45	38	3	3	0
0.0034	83	46	39	3	3	0
0.00346	83	47	39	3	3	0
0.00404	97	59	44	4	4	0
0.00406	105	69	46	7	5	0
0.00408	107	71	47	7	5	0
0.00412	109	73	48	7	5	-0.0923824
0.00471	121	85	53	7	5	-0.132764
0.00473	123	90	54	7	5	-0.150069
0.00538	131	100	56	7	5	-0.167539
0.0054	136	105	58	7	6	-0.162062
0.00545	136	106	58	7	6	-0.156405
0.0055	136	108	57	7	7	-0.133059
0.00605	144	113	60	7	7	-0.133059
0.00607	147	122	61	7	7	-0.133058
0.00609	154	125	64	7	7	-0.0895495
0.00612	155	127	64	7	7	-0.0460414
0.00618	156	128	64	8	7	-0.0184894
0.00625	157	129	64	8	7	0.00866933
0.00674	172	140	71	8	8	0.0515612
0.00676	179	146	74	8	8	0.0944525
0.00681	181	149	75	8	8	0.16941
0.00688	184	150	76	8	8	0.269823
0.0069	184	151	76	8	8	0.374503
0.00741	191	159	79	8	8	0.483739
0.00744	196	164	81	8	8	0.597824
0.00746	196	165	81	8	8	0.700837
0.00808	202	170	82	8	8	0.78342
0.0081	206	181	82	8	8	0.86759
0.00812	210	187	83	8	8	0.933822
0.00833	210	188	83	8	8	1.00005
0.00877	223	204	87	14	8	0.929551
0.00879	229	212	88	14	8	0.864662
0.00881	231	213	89	14	8	0.804759
0.00883	234	215	90	14	8	0.762247
0.00886	236	216	91	14	8	0.722227
0.00888	236	217	91	14	8	0.684584
0.00944	243	227	92	15	8	0.622093
0.00946	250	242	91	18	8	0.497656
0.00948	261	257	96	18	8	0.385944
0.00951	261	258	96	18	8	0.284747
0.00954	261	259	96	18	8	0.192792
0.00967	264	260	97	18	9	0.129466
0.01012	268	268	98	18	9	0.0704662
0.01014	274	280	99	18	9	0.0153675
0.01016	280	289	101	18	9	-0.0360869
0.01018	282	292	102	18	9	-0.0844271
0.0102	285	296	103	18	9	-0.12984
0.01022	288	297	104	18	9	-0.152413
0.01026	290	298	105	18	9	-0.17462
0.01032	290	299	105	18	9	-0.196709
0.01034	290	300	105	18	9	-0.218476
0.0108	295	311	106	20	9	-0.252317
0.01082	303	322	109	20	10	-0.267204
0.01084	312	339	111	20	13	-0.253321
0.01087	314	340	112	20	13	-0.237956
0.01089	314	343	112	20	13	-0.220299
0.01091	318	346	114	20	13	-0.200285
0.01093	320	347	115	20	13	-0.180037
