Subtype	Country	No. Seqs	Mean PWD	k	ADCL
01_AE	CF	3	0.041976096	1	0.041577416
01_AE	CF	3	0.041976096	2	0.041178735
01_AE	CN	583	0.041355331	1	0.027409745
01_AE	JP	4	0.036759213	1	0.026938185
01_AE	MM	3	0.045220033	1	0.040046702
01_AE	MM	3	0.045220033	2	0.03487337
01_AE	SE	3	0.05275065	1	0.052382445
01_AE	SE	3	0.05275065	2	0.05201424
01_AE	TH	216	0.037872008	1	0.022881737
01_AE	US	6	0.03150449	1	0.023293381
01_AE	VN	384	0.03454479	1	0.020858989
02_AG	CM	50	0.052850859	1	0.043359257
02_AG	CM	50	0.052850859	2	0.04035201
02_AG	CM	50	0.052850859	3	0.039556641
02_AG	CM	50	0.052850859	4	0.039126928
02_AG	CM	50	0.052850859	5	0.038728578
02_AG	CM	50	0.052850859	6	0.03839604
02_AG	CM	50	0.052850859	7	0.038068163
02_AG	CM	50	0.052850859	8	0.037741974
02_AG	CM	50	0.052850859	9	0.037391966
02_AG	CM	50	0.052850859	10	0.037093616
02_AG	CM	50	0.052850859	11	0.03670797
02_AG	CM	50	0.052850859	12	0.036407506
02_AG	CM	50	0.052850859	13	0.036102043
02_AG	CM	50	0.052850859	14	0.035918573
02_AG	CM	50	0.052850859	15	0.035644134
02_AG	CM	50	0.052850859	16	0.035357323
02_AG	CM	50	0.052850859	17	0.035119807
02_AG	CM	50	0.052850859	18	0.034927279
02_AG	CM	50	0.052850859	19	0.034649453
02_AG	CM	50	0.052850859	20	0.034468956
02_AG	CM	50	0.052850859	21	0.034244991
02_AG	CM	50	0.052850859	22	0.034006389
02_AG	CM	50	0.052850859	23	0.03379839
02_AG	CM	50	0.052850859	24	0.0335396
02_AG	CM	50	0.052850859	25	0.033199579
02_AG	CM	50	0.052850859	26	0.032860692
02_AG	CM	50	0.052850859	27	0.032529734
02_AG	CM	50	0.052850859	28	0.032081235
02_AG	CM	50	0.052850859	29	0.032001989
02_AG	CM	50	0.052850859	30	0.031555659
02_AG	CM	50	0.052850859	31	0.031361601
02_AG	CM	50	0.052850859	32	0.031125795
02_AG	CM	50	0.052850859	33	0.030789111
02_AG	CM	50	0.052850859	34	0.03027669
02_AG	CM	50	0.052850859	35	0.02973936
02_AG	CY	8	0.061012386	1	0.05303931
02_AG	CY	8	0.061012386	2	0.041639988
02_AG	CY	8	0.061012386	3	0.038635765
02_AG	CY	8	0.061012386	4	0.036027793
02_AG	CY	8	0.061012386	5	0.031519482
02_AG	CY	8	0.061012386	6	0.025620534
02_AG	FR	4	0.045722007	1	0.036401507
02_AG	FR	4	0.045722007	2	0.03186918
02_AG	FR	4	0.045722007	3	0.020802944
02_AG	GH	10	0.053504337	1	0.04541715
02_AG	GH	10	0.053504337	2	0.044208385
02_AG	GH	10	0.053504337	3	0.042934311
02_AG	GH	10	0.053504337	4	0.041449269
02_AG	GH	10	0.053504337	5	0.039030865
02_AG	GH	10	0.053504337	6	0.03619564
02_AG	GH	10	0.053504337	7	0.031097386
02_AG	GH	10	0.053504337	8	0.022032664
02_AG	GW	5	0.059138016	1	0.051537633
02_AG	GW	5	0.059138016	2	0.048374484
02_AG	GW	5	0.059138016	3	0.045359228
02_AG	GW	5	0.059138016	4	0.040191384
02_AG	NG	23	0.054434713	1	0.046739948
02_AG	NG	23	0.054434713	2	0.046338075
02_AG	NG	23	0.054434713	3	0.046065952
02_AG	NG	23	0.054434713	4	0.045620679
02_AG	NG	23	0.054434713	5	0.045171148
02_AG	NG	23	0.054434713	6	0.04501007
02_AG	NG	23	0.054434713	7	0.044645069
02_AG	NG	23	0.054434713	8	0.04451067
02_AG	NG	23	0.054434713	9	0.043383667
02_AG	NG	23	0.054434713	10	0.042926639
02_AG	NG	23	0.054434713	11	0.042074556
02_AG	NG	23	0.054434713	12	0.041794847
02_AG	NG	23	0.054434713	13	0.041642677
02_AG	NG	23	0.054434713	14	0.041307415
02_AG	NG	23	0.054434713	15	0.040876308
02_AG	NG	23	0.054434713	16	0.040762268
02_AG	NG	23	0.054434713	17	0.040462546
02_AG	NG	23	0.054434713	18	0.039939814
02_AG	NG	23	0.054434713	19	0.039207801
02_AG	NG	23	0.054434713	20	0.038390537
02_AG	NG	23	0.054434713	21	0.038127204
02_AG	NG	23	0.054434713	22	0.036852829
02_AG	PK	6	0.025988334	1	0.021764667
02_AG	SE	4	0.053714186	1	0.052100855
02_AG	SE	4	0.053714186	2	0.051248991
02_AG	SE	4	0.053714186	3	0.050425869
02_AG	SN	3	0.072910824	1	0.062571278
02_AG	SN	3	0.072910824	2	0.052231732
02_AG	US	3	0.0539443	1	0.050509629
02_AG	US	3	0.0539443	2	0.047074957
04_cpx	GR	6	0.0477414	1	0.042487033
04_cpx	GR	6	0.0477414	2	0.038596476
04_cpx	GR	6	0.0477414	3	0.036334652
04_cpx	GR	6	0.0477414	4	0.032442127
04_cpx	GR	6	0.0477414	5	0.025161049
06_cpx	EE	4	0.023903777	1	0.022383663
07_BC	CN	295	0.02820487	1	0.019410503
07_BC	TW	4	0.019341265	1	0.014517266
08_BC	CN	89	0.029315833	1	0.017069578
10_CD	TZ	3	0.05138266	1	0.049538125
10_CD	TZ	3	0.05138266	2	0.04769359
11_cpx	CM	17	0.061216972	1	0.053215608
11_cpx	CM	17	0.061216972	2	0.048767424
11_cpx	CM	17	0.061216972	3	0.046776439
11_cpx	CM	17	0.061216972	4	0.045709187
11_cpx	CM	17	0.061216972	5	0.044556681
11_cpx	CM	17	0.061216972	6	0.043325019
11_cpx	CM	17	0.061216972	7	0.041756687
11_cpx	CM	17	0.061216972	8	0.040363001
11_cpx	CM	17	0.061216972	9	0.038671587
11_cpx	CM	17	0.061216972	10	0.036851274
11_cpx	CM	17	0.061216972	11	0.034198303
11_cpx	CM	17	0.061216972	12	0.031046031
11_cpx	CM	17	0.061216972	13	0.027081498
12_BF	AR	4	0.035572336	1	0.032933111
12_BF	AR	4	0.035572336	2	0.031802752
12_BF	AR	4	0.035572336	3	0.030326186
13_cpx	CM	8	0.042318218	1	0.037170593
13_cpx	CM	8	0.042318218	2	0.035608657
13_cpx	CM	8	0.042318218	3	0.034569119
13_cpx	CM	8	0.042318218	4	0.033955082
13_cpx	CM	8	0.042318218	5	0.033425536
13_cpx	CM	8	0.042318218	6	0.032187328
13_cpx	CM	8	0.042318218	7	0.030341423
18_cpx	CM	4	0.062008352	1	0.052833002
18_cpx	CM	4	0.062008352	2	0.049195333
18_cpx	CM	4	0.062008352	3	0.04620675
18_cpx	CU	3	0.032589344	1	0.030199606
18_cpx	CU	3	0.032589344	2	0.027809869
19_cpx	CU	4	0.031964137	1	0.028985978
20_BG	CU	3	0.013514483	1	0.012259916
21_A2D	KE	3	0.040142989	1	0.039964387
21_A2D	KE	3	0.040142989	2	0.039785784
24_BG	CU	7	0.019313516	1	0.015604471
25_cpx	CM	3	0.04783911	1	0.044151902
25_cpx	CM	3	0.04783911	2	0.040464695
27_cpx	CD	3	0.058204285	1	0.056955315
27_cpx	CD	3	0.058204285	2	0.055706344
28_BF	BR	3	0.043482171	1	0.04029342
28_BF	BR	3	0.043482171	2	0.03710467
29_BF	BR	7	0.0565359	1	0.050524044
29_BF	BR	7	0.0565359	2	0.049706043
29_BF	BR	7	0.0565359	3	0.048288877
29_BF	BR	7	0.0565359	4	0.04701161
29_BF	BR	7	0.0565359	5	0.046510836
29_BF	BR	7	0.0565359	6	0.046108601
33_01B	MY	3	0.033432552	1	0.032636522
33_01B	MY	3	0.033432552	2	0.031840492
34_01B	TH	3	0.009945033	1	0.006032608
35_AD	AF	14	0.02808927	1	0.022825406
35_AD	IR	9	0.035857218	1	0.032063154
35_AD	IR	9	0.035857218	2	0.030803788
35_AD	IR	9	0.035857218	3	0.030186469
35_AD	IR	9	0.035857218	4	0.029326647
37_cpx	CM	3	0.06033204	1	0.058164233
37_cpx	CM	3	0.06033204	2	0.055996425
38_BF1	UY	3	0.047961551	1	0.045090073
38_BF1	UY	3	0.047961551	2	0.042218595
39_BF	BR	3	0.055176451	1	0.052520206
39_BF	BR	3	0.055176451	2	0.049863961
40_BF	BR	4	0.049301907	1	0.045587132
40_BF	BR	4	0.049301907	2	0.042510843
40_BF	BR	4	0.049301907	3	0.038183895
42_BF	LU	21	0.007482444	1	0.00433461
43_02G	SA	4	0.028075544	1	0.027120924
48_01B	MY	3	0.024110344	1	0.022662392
49_cpx	GM	3	0.042412224	1	0.039915828
49_cpx	GM	3	0.042412224	2	0.037419432
50_A1D	GB	4	0.028968858	1	0.02499568
