Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	2	1	1	2	0	0
0.00337	4	2	2	2	2	0
0.00676	6	3	3	2	2	0
0.00744	8	4	4	2	2	0.109579
0.00815	8	5	4	2	2	0.78137
0.00881	11	6	5	3	2	0.52299
0.01014	11	7	5	3	2	0.52299
0.01017	13	8	6	3	2	0.522998
0.0108	13	9	6	3	2	0.867506
0.01152	16	11	7	4	2	1.00007
0.01286	16	12	7	4	2	0.67071
0.01421	18	14	7	6	2	-0.0848925
0.01427	18	15	7	6	2	-0.613814
0.01491	18	19	6	6	4	-0.564923
0.01496	20	20	7	6	4	-0.579363
0.0156	20	21	7	6	4	-0.469121
0.01631	23	23	8	6	4	-0.303231
0.01693	24	24	8	6	5	-0.237955
0.01698	26	25	9	6	5	-0.161212
0.01703	26	26	9	6	5	0.000909725
0.01709	26	27	9	6	5	0.183296
0.01766	26	28	9	6	5	0.269424
0.0177	28	30	9	7	5	0.197077
0.01835	28	32	9	7	5	0.130295
0.01909	29	34	9	7	5	0.145018
0.01918	29	35	9	7	5	0.158689
0.01973	29	36	9	7	5	0.232512
0.01982	30	37	9	8	5	0.171417
0.01985	30	38	9	8	5	0.0225259
0.0204	32	39	10	8	5	-0.0835434
0.02042	32	40	10	8	5	-0.214123
0.02075	33	41	10	8	6	-0.157953
0.02112	36	42	11	8	6	0.132872
0.02114	36	43	11	8	6	0.199984
0.02121	36	44	11	8	6	0.273808
0.02155	36	45	11	8	6	0.273808
0.02187	37	47	11	8	6	0.273808
0.0219	39	48	12	8	6	0.924218
0.02205	41	49	13	8	6	1.00623
0.02249	41	50	13	8	6	0.932403
0.02251	41	51	13	8	6	0.85858
0.02259	41	53	13	8	6	0.784756
0.02313	42	54	13	8	7	0.826795
0.02387	43	55	13	8	7	0.819893
0.02391	43	56	13	8	7	0.860671
0.02395	45	58	13	9	8	0.918635
0.02459	46	59	13	9	9	0.96601
0.02462	47	61	13	10	9	0.924509
0.02466	47	62	13	10	9	0.92995
0.02468	48	63	13	10	10	0.484024
0.02471	48	65	13	10	10	-0.00554052
0.02477	49	66	13	11	10	0
