Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	26	13	13	2	2	0
0.00068	45	25	21	4	3	0
0.00098	45	26	21	4	3	0
0.00135	60	35	28	4	3	0
0.00202	78	46	36	4	3	0
0.00269	91	57	42	4	3	0
0.00271	94	58	43	4	3	0
0.00274	96	59	44	4	3	0
0.00336	108	67	49	4	3	0
0.00345	108	68	49	4	3	0
0.00403	131	82	58	4	4	0
0.00407	131	83	58	4	4	-0.0416135
0.00471	145	93	64	4	4	-0.0392669
0.00476	148	94	65	5	4	-0.0399512
0.00487	154	97	68	5	4	-0.0401331
0.00538	172	108	76	5	5	-0.0257446
0.0054	174	109	77	5	5	-0.0158741
0.00584	176	111	78	5	5	-0.00505464
0.00586	179	112	79	5	5	0.00689114
0.00605	197	131	83	6	6	0.0415977
0.00607	202	136	85	6	6	0.0757601
0.00673	223	154	90	8	7	0.218617
0.00675	225	161	90	8	7	0.217448
0.0068	228	163	91	8	7	0.263055
0.00682	230	166	91	9	8	0.262164
0.0074	240	178	94	9	8	0.459303
0.00742	245	188	95	10	8	0.540339
0.00744	248	189	96	10	8	0.622143
0.00746	248	190	96	10	8	0.618842
0.00753	248	191	96	10	8	0.613871
0.00779	252	195	97	10	8	0.695513
0.00782	255	199	98	10	8	0.773546
0.00808	263	215	98	11	8	0.765615
0.0081	266	222	99	11	9	0.837393
0.00812	266	223	99	11	9	0.835791
0.00876	277	241	99	12	10	0.834801
0.00878	281	247	99	13	10	0.83095
0.00881	282	249	99	13	10	0.828434
0.00885	282	250	99	13	10	0.82746
0.00944	291	272	98	13	10	0.753094
0.00946	293	282	97	13	11	0.672493
0.00952	293	283	97	13	11	0.671803
0.00977	293	285	97	13	11	0.671107
0.01011	297	293	99	13	11	0.826459
0.01013	305	316	101	13	11	0.929301
0.01015	308	319	102	13	11	0.954685
0.01075	310	320	103	13	11	0.967217
0.01078	310	325	103	13	11	0.965879
0.0108	313	343	103	14	11	0.96336
0.01082	317	358	102	14	11	0.947238
0.01084	318	360	102	14	11	0.944701
0.01086	318	361	102	14	11	0.947239
0.01147	325	371	103	15	14	0.96728
0.01149	328	389	103	15	14	0.973827
0.01151	334	395	105	15	14	0.98768
0.01153	335	398	105	15	14	0.994432
0.01157	336	399	105	15	14	1.00129
0.0116	336	401	105	15	14	1.00826
0.01172	336	403	104	15	14	1.01366
0.01174	336	406	104	15	14	1.02194
0.01215	338	414	105	15	14	1.03363
0.01217	342	426	105	15	14	1.04394
0.01219	343	428	104	20	14	1.04048
0.01221	343	432	104	20	14	1.03873
0.01225	343	433	104	20	14	1.02607
0.01269	343	434	104	20	14	1.01473
0.01271	345	436	105	20	14	1.00562
0.01273	346	440	103	20	14	0.988741
0.01275	348	441	104	20	14	0.985045
0.01283	352	449	104	20	14	0.976838
0.01285	359	464	106	21	14	0.96933
0.01287	362	474	104	21	14	0.958261
0.01291	362	475	104	21	14	0.949072
0.01298	362	477	104	21	14	0.946909
0.01351	367	482	106	21	14	0.949967
0.01353	375	502	105	21	21	0.96126
0.01355	378	514	105	22	21	0.972404
0.01357	379	519	105	22	21	0.984069
0.01368	379	522	104	24	22	0.99351
0.0137	379	524	104	24	22	1.00427
0.01373	380	527	104	25	22	1.01423
0.01375	380	528	104	25	22	1.02935
0.01419	381	531	104	25	22	1.04683
0.01421	389	549	105	25	23	1.06965
0.01423	389	559	104	41	25	1.07324
0.01425	391	563	105	41	25	1.07888
0.01427	391	566	105	41	25	1.08628
0.01429	391	567	105	41	25	1.08382
0.01455	391	568	105	41	25	1.08241
0.01469	393	571	106	41	25	1.08145
0.01487	396	575	107	41	26	1.07924
0.01489	401	590	109	41	26	1.07711
0.01491	405	612	108	50	26	1.06656
0.01493	406	622	107	51	26	1.05658
0.01495	406	626	106	53	26	1.04593
0.01556	408	636	105	57	26	1.03296
0.01558	411	654	104	59	28	1.02743
0.0156	412	669	103	66	28	1.01331
0.01562	414	673	103	66	28	1.00525
0.01564	415	677	103	66	28	0.995106
0.01566	415	680	103	66	28	0.985132
0.0157	416	685	102	66	32	0.966813
0.0158	416	686	102	66	32	0.96139
0.01596	416	687	102	66	32	0.956171
0.01626	417	696	101	70	33	0.926189
0.01628	421	716	100	71	33	0.879848
0.0163	424	725	100	74	33	0.875425
0.01632	425	728	100	74	33	0.875162
0.01634	427	730	101	74	33	0.917025
0.01636	427	731	101	74	33	0.917817
0.01665	427	732	100	74	38	0.88022
0.01667	429	737	100	74	39	0.886208
0.01669	429	738	100	74	39	0.892827
0.01671	432	742	101	74	40	0.940564
0.01674	433	743	101	74	40	0.945924
0.01694	433	748	101	74	40	0.951377
0.01696	434	761	101	74	40	0.956096
0.01698	434	772	99	74	40	0.858754
0.017	436	779	99	90	40	0.855489
0.01702	436	785	99	90	40	0.852226
0.01704	436	787	99	90	40	0.848965
0.01706	438	788	100	90	40	0.905239
0.01712	438	789	100	90	40	0.898846
0.01763	440	801	99	92	40	0.832073
0.01765	445	818	99	93	41	0.825386
0.01767	447	838	99	94	41	0.818209
0.01769	449	844	100	94	41	0.870636
0.01771	449	847	99	94	44	0.806494
0.01773	450	849	99	94	45	0.802466
0.0183	452	853	98	94	50	0.727224
0.01832	455	863	99	94	50	0.801122
0.01834	456	881	98	94	50	0.72838
0.01836	459	891	98	95	50	0.728768
0.01838	459	902	97	95	53	0.648079
0.0184	459	905	97	95	53	0.649874
0.0185	459	906	97	95	53	0.652075
0.01863	459	907	97	95	53	0.654149
0.01865	460	910	97	95	53	0.656485
0.01867	461	916	97	95	54	0.659481
0.01869	461	919	97	95	54	0.6614
0.01871	461	923	96	95	57	0.578196
0.01873	461	925	96	95	57	0.579822
0.01875	462	926	96	96	57	0.581164
0.01878	462	928	96	96	57	0.582529
0.01899	462	931	96	96	57	0.584489
0.01901	463	939	96	96	58	0.585803
0.01903	468	961	98	96	58	0.756561
0.01905	468	976	98	96	58	0.758251
0.01907	469	984	98	96	58	0.759964
0.0191	469	988	98	96	58	0.761699
0.01912	472	989	99	96	58	0.836541
0.01919	472	990	99	96	58	0.838173
0.01921	472	991	99	96	58	0.839095
0.01933	472	992	99	96	58	0.840364
0.01966	472	995	99	96	58	0.841807
0.01969	473	1002	98	100	59	0.769222
0.01971	475	1028	98	100	60	0.770609
0.01973	478	1043	97	102	60	0.688372
0.01975	480	1055	98	102	60	0.771447
0.01977	480	1060	98	102	60	0.771863
0.01984	480	1061	98	102	60	0.772277
0.02037	480	1063	98	102	60	0.774061
0.02039	481	1073	98	103	60	0.775498
0.02041	483	1093	97	104	60	0.694102
0.02043	487	1107	98	106	60	0.776266
0.02045	487	1117	98	106	60	0.775778
0.02047	488	1119	98	107	60	0.77622
0.02049	488	1121	98	107	60	0.777048
0.02065	488	1123	98	107	60	0.777591
0.02067	488	1126	98	107	60	0.778455
0.0207	488	1131	98	107	60	0.779312
0.02072	489	1133	98	107	60	0.780163
0.02074	489	1136	97	115	60	0.695748
0.02105	490	1137	97	115	60	0.694025
0.02107	492	1147	97	116	60	0.692177
0.02109	495	1163	97	117	64	0.692485
0.02111	498	1182	97	117	64	0.693098
0.02113	499	1195	96	125	64	0.604947
0.02115	499	1203	96	125	64	0.603408
0.02117	499	1205	96	125	64	0.602326
0.02119	499	1209	96	125	64	0.60126
0.02122	499	1210	96	125	64	0.60021
