Country,DWH,DWH-optimal
Japan,−0.031,−0.007
Indonesia,−0.015,−0.007
US,−0.051,−0.043
China,−0.166,0.116
Thailand,−0.051,0.132
Viet Nam,−0.015,−0.007
Ukraine,−0.129,−0.033
Kazakhstan,−0.038,−0.033
Uzbekistan,−0.129,−0.033
Russia,−0.141,−0.134
Australia,−0.097,−0.030
France,−0.097,−0.095
India,−0.097,−0.045
Belarus,−0.097,−0.045
Spain,−0.097,−0.011
Angola,−0.097,−0.045
Canada,,−0.003
South Africa,,−0.030
Germany,,−0.049
Georgia,,−0.011
Cyprus,,−0.011
Taiwan,,−0.045
Senegal,,0.499
Estonia,,−0.045
Singapore,,−0.045
Malaysia,,−0.045
