Threshold	Nodes	Edges	Clusters	LargestCluster	SecondLargestCluster	Score
1e-05	10	5	5	2	2	0
0.00068	16	8	8	2	2	0
0.00135	18	9	9	2	2	0
0.00202	22	11	11	2	2	0
0.00204	24	12	12	2	2	0
0.0027	26	13	13	2	2	0
0.00338	30	15	15	2	2	0
0.0034	32	16	16	2	2	0
0.00404	35	18	17	3	2	0
0.00406	37	19	18	3	2	0
0.00409	37	20	18	3	2	0
0.00471	39	21	19	3	2	0
0.00476	41	22	20	3	2	0
0.00539	49	26	24	3	2	0
0.00545	51	27	25	3	2	-0.0125982
0.00606	54	30	26	3	3	-0.00387794
0.00608	56	32	26	4	3	-0.0228603
0.00611	57	33	26	5	3	-0.0671506
0.00673	61	35	27	5	4	-0.0860504
0.00676	62	37	27	5	4	-0.104479
0.00678	64	39	28	5	4	-0.12245
0.00681	64	40	28	5	4	-0.139985
0.0074	65	42	28	5	4	-0.157098
0.00742	69	45	30	5	4	-0.153094
0.00744	71	47	31	5	4	-0.148992
0.00748	71	48	31	5	4	-0.144793
0.00808	76	50	33	5	5	-0.101581
0.0081	77	52	33	5	5	-0.0561194
0.00818	77	53	33	5	5	-0.00820012
0.00877	79	56	33	6	5	0.0247697
0.00881	81	58	34	6	5	0.0367849
0.00886	81	59	34	6	5	0.0631604
0.00944	84	62	35	6	6	0.147599
0.00947	84	65	35	6	6	0.214821
0.00949	84	67	35	6	6	0.25846
0.00959	86	68	36	6	6	0.303442
0.01012	88	69	37	6	6	0.349804
0.01014	91	73	38	7	6	0.377866
0.01016	94	76	39	7	6	0.406272
0.01019	95	77	39	7	6	0.434792
0.0108	103	83	41	10	6	0.403935
0.01084	108	88	42	10	6	0.364184
0.01089	108	89	42	10	6	0.318122
0.01148	112	94	44	10	6	0.277721
0.0115	113	97	44	10	6	0.248136
0.01152	114	98	44	10	6	0.219952
0.01216	117	104	44	13	6	0.150754
0.01218	121	108	45	13	6	0.0718209
0.0122	123	110	45	13	8	0.0325628
0.01223	123	112	45	13	8	-0.00456943
0.01225	124	114	45	13	8	-0.0397439
0.01228	128	116	46	13	8	-0.0697597
0.0123	130	117	47	13	8	-0.0920378
0.01232	130	118	47	13	8	-0.113097
0.01237	131	119	47	13	8	-0.13079
0.01285	133	123	47	14	8	-0.140573
0.01287	135	130	47	14	9	-0.139729
0.01289	138	134	48	14	9	-0.13114
0.01291	142	138	50	14	9	-0.104623
0.01293	142	140	50	14	9	-0.110592
0.01353	142	144	49	14	9	-0.134222
0.01355	142	153	48	14	11	-0.124002
0.01357	143	157	48	14	12	-0.096838
0.01359	145	160	49	14	12	-0.0712541
0.01361	147	163	50	14	12	-0.0391972
0.01366	147	164	50	14	12	-0.0241469
0.0138	147	165	50	14	12	-0.0112676
0.0142	150	170	50	16	12	-0.00969364
0.01422	152	178	50	17	12	-0.0140271
0.01424	154	183	50	18	12	-0.024393
0.01426	157	189	51	18	12	0.000326151
0.01428	157	191	51	18	12	-0.0105297
0.01431	158	192	51	18	13	-0.0157685
0.01433	161	193	52	18	14	0.0224888
0.01438	161	194	52	18	14	0.0219815
0.01488	162	197	52	18	14	0.0236262
0.0149	165	205	53	18	15	0.0782495
0.01492	165	210	52	18	15	0.0171429
0.01494	167	215	52	18	15	0.00985499
0.01496	171	219	53	18	15	0.0586685
0.01498	172	221	53	18	16	0.056842
0.015	175	223	54	18	16	0.133875
0.01506	178	224	55	18	16	0.247679
0.01543	178	225	55	18	16	0.25829
0.01556	182	228	56	20	16	0.398312
0.01558	183	233	56	20	17	0.412568
0.0156	188	244	58	20	18	0.734881
0.01562	191	249	58	20	19	0.756303
0.01564	195	255	58	20	19	0.774372
0.01566	198	261	58	21	19	0.788194
0.01568	198	263	58	21	19	0.802307
0.01571	198	264	58	21	19	0.815071
0.01574	199	266	58	21	20	0.833188
0.01576	199	267	58	21	20	0.853921
0.01579	199	268	57	22	21	0.724353
0.01625	200	272	57	22	21	0.745026
0.01627	203	279	57	24	21	0.758334
0.01629	207	288	58	24	21	0.913054
0.01631	210	297	58	25	21	0.911158
0.01633	213	305	58	26	21	0.911011
0.01635	214	309	58	26	21	0.907027
0.01637	216	313	57	26	21	0.750215
0.01639	217	316	57	26	21	0.740082
0.01641	219	319	57	26	21	0.731906
