ID1,ID2,Distance
FJ670525,FJ670525,0
GQ372188,GQ372188,0
AF457080,AF457080,0
JF683746,JF683746,0
AF061642,AF061642,0
JQ028237,JQ028237,0
DQ823356,DQ823356,0
DQ056405,DQ056405,0
GQ371806,GQ371806,0
EU786671,EU786671,0
DQ823356,DQ823359,0.0162893
DQ823356,DQ823360,0.0121512
DQ823356,DQ823361,0.0149127
JF683746,JF683809,0.0114788
JQ028237,JQ302600,0.0149862
DQ823356,EF589044,0.0163076
JQ028239,JQ028239,0
JQ028239,JQ028330,0.0169633
JQ028239,JQ901043,0.014921
JQ028239,JQ901085,0.0142249
JQ028239,JQ302575,0.00607765
DQ056406,DQ056406,0
FJ670530,FJ670530,0
AF457081,AF457081,0
DQ823359,DQ823359,0
DQ823359,DQ823360,0.0135293
DQ823359,DQ823361,0.0128509
DQ823359,DQ823367,0.0162725
EU786672,EU786672,0
GQ371807,GQ371807,0
AF063224,AF063224,0
JQ028240,JQ028240,0
JF683749,JF683749,0
JQ028240,JQ028351,0.0163008
DQ823359,EF589044,0.0156243
DQ056408,DQ056408,0
GQ372189,GQ372189,0
FJ853622,FJ853622,0
AF457083,AF457083,0
AF110961,AF110961,0
DQ823360,DQ823360,0
DQ823360,DQ823361,0.012155
DQ823360,DQ823367,0.0142013
JF683750,JF683750,0
EU786673,EU786673,0
EU786673,FJ670521,0.00605346
GQ371808,GQ371808,0
JQ028241,JQ028241,0
DQ056409,DQ056409,0
GQ372988,GQ372988,0
DQ823360,EF589042,0.0155858
DQ823360,EF589044,0.0135391
JF683751,JF683751,0
AF110973,AF110973,0
AF457088,AF457088,0
DQ823361,DQ823361,0
DQ823361,DQ823367,0.0114672
JQ028242,JQ028242,0
GQ372990,GQ372990,0
DQ056410,DQ056410,0
GQ371811,GQ371811,0
EU786674,EU786674,0
JF683754,JF683754,0
DQ823361,EF589040,0.0148996
DQ823361,EF589042,0.0128418
DQ823361,EF589044,0.0108238
AF110980,AF110980,0
JQ028243,JQ028243,0
GU362881,GU362881,0
GQ372194,GQ372194,0
JQ028243,JQ302578,0.0135456
JQ028243,JQ302691,0.0156208
AF457089,AF457089,0
JQ028243,JQ302734,0.00672867
DQ056413,DQ056413,0
GQ371812,GQ371812,0
JF683756,JF683756,0
JQ028244,JQ028244,0
GU362883,GU362883,0
JQ028244,JQ302656,0.0107938
JQ028244,JQ302657,0.00945296
AF443074,AF443074,0
DQ056416,DQ056416,0
AF457090,AF457090,0
EU786677,EU786677,0
GQ372195,GQ372195,0
DQ823362,DQ823362,0
JQ028245,JQ028245,0
JQ028245,JQ302580,0.0142092
JF683757,JF683757,0
JQ028245,JQ302681,0.0136033
GU362884,GU362884,0
GQ371813,GQ371813,0
JQ028246,JQ028246,0
DQ093585,DQ093585,0
AF443075,AF443075,0
EU786678,EU786678,0
GQ372201,GQ372201,0
DQ823363,DQ823363,0
DQ823363,DQ823364,0.014201
JF683758,JF683758,0
JQ028248,JQ028248,0
AY093603,AY093603,0
GQ372203,GQ372203,0
DQ093586,DQ093586,0
DQ823364,DQ823364,0
AF443076,AF443076,0
GU362885,GU362885,0
JF683760,JF683760,0
JF683760,JF683761,0.00540802
JQ028249,JQ028249,0
GQ371814,GQ371814,0
