ID1,ID2,Distance
AY945726,AY945728,0.0339376
JF689854,JF689870,0.0474318
EU170152,EU170153,0.00686308
JX500699,JX500700,0.0121766
GQ372121,GQ372283,0.0494804
AY945726,AY945730,0.0324113
JF689854,JF689875,0.0444397
EU170152,EU170154,0.00274239
JX500699,JX500701,0.0141983
AF061642,AF316544,0.0316694
GQ372121,HQ026540,0.0498089
AY945726,AB220948,0.0282313
EU170152,EU170155,0.00343105
AF061642,U88826,0.0460497
JF689854,JF689893,0.0488185
DQ011167,AB485646,0.0496719
GQ372121,HQ026632,0.048983
AY945726,EF036528,0.0468829
JF689854,JF689896,0.0473245
JX500699,KJ197202,0.0131768
DQ011167,KM050132,0.0498269
AY945726,EF036533,0.0388142
JF689854,JN944928,0.0496023
DQ011167,KM050514,0.0493856
AY945726,DQ354113,0.0494975
GQ372121,KJ140248,0.0497098
EU170152,KJ704794,0.0492461
JF689854,AB873996,0.0483435
DQ011167,KM050645,0.0466861
JX500700,JX500701,0.0149476
GQ372121,KJ140260,0.0490548
AY945726,AB485653,0.026854
JF689854,KJ140247,0.0483163
JX500700,KJ197202,0.011821
GQ372121,KJ704794,0.0389348
AF110961,AF443084,0.0495216
AY945726,FJ185228,0.0331541
JF689854,KJ140248,0.0468513
AF110961,AF443095,0.0466875
FJ861953,HQ026540,0.0474534
EU170153,EU170154,0.00952339
AY945726,FJ185230,0.0309888
JF689854,KJ140257,0.0476455
DQ011175,DQ164107,0.0465978
AF457075,AY322185,0.0423483
AF110961,AF443098,0.0395058
FJ861953,HQ026564,0.0473935
EU170153,EU170155,0.000672341
AY945726,FJ185232,0.0317163
JF689854,KJ140260,0.0461501
DQ011175,DQ275647,0.0415314
AF457075,AY713406,0.0437859
FJ861953,HQ026632,0.0444963
AF110961,AF443111,0.0466936
GQ371764,KJ704794,0.0463948
GQ372125,KJ704794,0.0448516
AY945726,FJ185239,0.0310466
JF689854,KJ140262,0.0468695
FJ861953,JF689870,0.0474037
DQ011175,AB485646,0.0481068
JX500701,KJ197202,0.0138846
AF110961,AF286224,0.0429187
AF457075,KT022413,0.0495728
AY945726,FJ185246,0.0246986
JF689854,KU685586,0.0497167
FJ861953,JF689875,0.0451297
DQ011175,KM049903,0.0469399
AF110961,AF286227,0.0465335
AY945726,FJ185248,0.0345897
JF689854,KX505572,0.0474857
FJ861953,JF683764,0.047929
DQ011175,KM050132,0.0467773
EU170154,EU170155,0.0061212
AF110961,AF286231,0.048146
GQ371769,GQ371808,0.0459449
JQ028206,JQ028221,0.0438046
AY945726,FJ185250,0.0302824
JF689854,KT124799,0.0498073
AF110961,AF286234,0.0451915
JQ028206,JQ028234,0.0460083
GQ371769,GQ371811,0.0498787
AY945726,FJ185255,0.0261541
JF689854,KT124806,0.0489642
AF457077,AY322185,0.0445485
AF110961,AF361871,0.0422268
JQ028206,JQ028235,0.0466091
GQ371769,GQ371853,0.0482606
FJ861953,AB873996,0.0496314
AY945726,FJ185258,0.0282574
JF689854,KJ704794,0.0318211
AF457077,AY713406,0.0481544
AF110961,AF411966,0.0415595
JQ028206,JQ028246,0.0479899
GQ371769,GQ371941,0.0491425
AY945726,GQ845124,0.0367917
FJ861953,KJ140248,0.0496262
GQ372130,KJ704794,0.0466978
AF110961,AY158535,0.0489406
JQ028206,JQ028250,0.0481538
DQ011179,DQ164113,0.0488481
GQ371769,GQ372046,0.047118
AY945726,GU564221,0.0373798
FJ861953,KJ140260,0.0489218
AF110961,AY253317,0.044494
JQ028206,JQ028252,0.0452709
DQ011179,DQ396368,0.0453153
GQ371769,GQ372051,0.0485827
AY945726,GU564225,0.0346292
FJ861953,KJ140262,0.0496573
AF110961,AY444801,0.0494717
JQ028206,JQ028258,0.0487747
DQ011179,DQ396385,0.0481127
GQ372131,GQ372133,0.0499606
GQ371769,GQ372121,0.0475975
AY945726,GU564226,0.0368012
JQ028206,JQ028259,0.0474344
GQ372131,GQ372187,0.0465833
GQ371769,GQ372131,0.0496787
AF110961,AY463227,0.0495901
FJ861953,KX505572,0.0474784
DQ011179,AB485646,0.0395313
JQ028206,JQ028261,0.0408892
AY945726,GU564229,0.033896
GQ372131,GQ372283,0.0434721
AF110961,AY463237,0.0436668
GQ371769,GQ372133,0.0492678
JQ028206,JQ028263,0.0479712
FJ861953,KJ704794,0.0381456
GQ372131,GQ372316,0.0470322
AF110961,AY585264,0.0459017
JQ028206,JQ028333,0.0473775
GQ371769,GQ372187,0.0453375
AY945726,HQ215585,0.043935
GQ372131,HQ026503,0.0481436
JF689860,KJ704794,0.0425779
FJ861953,GQ372161,0.0467654
JQ028206,JQ028363,0.0489204
AF110961,AY901966,0.0494835
AY945726,HQ215586,0.0489222
GQ372131,HQ026525,0.048089
GQ371769,GQ372246,0.0465676
JQ028206,JQ028364,0.04958
DQ011179,KM049902,0.0432344
GQ372131,HQ026526,0.0465506
AF110961,AY901975,0.0473588
AY945726,JQ028206,0.0430869
JQ028206,JQ235009,0.0438302
GQ371769,GQ372283,0.042892
GQ372131,HQ026540,0.0445519
DQ011179,KM049922,0.0485052
AY945726,JQ028213,0.0461965
JQ028206,JQ235011,0.0302478
AF110961,DQ093590,0.0482389
GQ371769,GQ372316,0.0428326
GQ372131,HQ026564,0.0458735
DQ011179,KM049947,0.0440035
JF689862,JF689875,0.0486827
AY945726,JQ028215,0.0473044
JQ028206,JN860763,0.0488719
AF110961,DQ093592,0.0480223
DQ011179,KM049957,0.0497706
GQ372131,HQ026632,0.042977
GQ371769,HQ026503,0.0498867
JF689862,JF683764,0.046481
JQ028206,JN860768,0.0459003
AY945726,JQ028216,0.0432106
AF110961,DQ093599,0.046578
GQ371769,HQ026525,0.0475654
DQ011179,KM050089,0.0418444
GQ372131,JF320182,0.0496261
EF368370,EF368371,0.0315415
JQ028206,KC596062,0.0495417
JF689862,KC988153,0.0493921
HM586202,KJ704794,0.040341
AY945726,JQ028221,0.0353007
AF110961,DQ164107,0.048094
GQ371769,HQ026540,0.0470454
GQ372131,JF320639,0.0467187
DQ011179,KM050132,0.0462966
JQ028206,KC596063,0.0452337
JF689862,AB873996,0.0488165
AY945726,JQ028222,0.0447443
AF110961,DQ164113,0.0451141
EF368370,HQ215583,0.045317
GQ371769,HQ026564,0.0476129
GQ372131,JF689870,0.0488605
DQ011179,KM050514,0.0494484
JQ028206,JN248316,0.0479839
AF457083,EU110088,0.0462302
AY945726,JQ028234,0.0403157
HM586212,HQ026540,0.0497575
AF110961,DQ275655,0.0495331
EF368370,JQ028276,0.030878
JF689862,KJ140260,0.0488525
GQ371769,HQ026623,0.0476081
GQ372131,JF689875,0.0480686
DQ011179,KM050539,0.0490755
JQ028206,JN248325,0.0473343
AY945726,JQ028235,0.0345681
AF110961,DQ396364,0.0488889
HM586212,AB873996,0.0488156
EF368370,JQ028382,0.0387405
JF689862,KJ140262,0.0495719
GQ371769,HQ026632,0.042445
GQ372131,JF689893,0.0494483
DQ011179,KM050645,0.0386594
JQ028206,JN248351,0.0466142
AY945726,JQ028246,0.0489231
AF110961,DQ396383,0.0480502
EF368370,JQ235012,0.0381273
HM586212,KJ140260,0.0497533
GQ371769,JF320639,0.0439966
JF689862,KX505572,0.0465532
GQ372131,JF683764,0.045609
