ID1,ID2,Distance
AF061642,AF061642,0
JQ028237,JQ028237,0
GQ175881,GQ175881,0
AB428555,AB428555,0
AF457053,AF457053,0
DQ011169,DQ011169,0
GQ371796,GQ371796,0
AY945718,AY945718,0
GQ372195,GQ372195,0
HM030565,HM030565,0
JQ028238,JQ028238,0
GQ175883,GQ175883,0
DQ011171,DQ011171,0
AF457054,AF457054,0
AF063223,AF063223,0
AY945719,AY945719,0
AB428556,AB428556,0
GQ371797,GQ371797,0
JQ028239,JQ028239,0
JF683736,JF683736,0
JQ028239,JQ302575,0.00607765
DQ011172,DQ011172,0
JQ028242,JQ028242,0
AF110961,AF110961,0
JF683737,JF683737,0
AY945720,AY945720,0
FJ670517,FJ670517,0
GQ371798,GQ371798,0
AF457058,AF457058,0
GQ372200,GQ372200,0
JQ028244,JQ028244,0
DQ011173,DQ011173,0
JF683738,JF683738,0
FJ670518,FJ670518,0
AF110973,AF110973,0
AY945722,AY945722,0
GQ371802,GQ371802,0
JQ028247,JQ028247,0
GQ372201,GQ372201,0
AB428557,AB428557,0
DQ011174,DQ011174,0
JF683742,JF683742,0
AF457061,AF457061,0
JQ028248,JQ028248,0
AF110980,AF110980,0
GQ371803,GQ371803,0
FJ670519,FJ670519,0
GQ372202,GQ372202,0
DQ011175,DQ011175,0
JF683743,JF683743,0
JF683743,JF683746,0.00471936
AB428558,AB428558,0
AB428558,AB428560,0.00336447
AB428558,AB428562,0.00741514
JQ028249,JQ028249,0
AF457063,AF457063,0
AY945726,AY945726,0
AF443074,AF443074,0
GQ371806,GQ371806,0
JQ028250,JQ028250,0
DQ011177,DQ011177,0
GQ372203,GQ372203,0
AB428560,AB428560,0
AB428560,AB428562,0.00675177
FJ670519,KX228815,0
FJ670520,FJ670520,0
JF683746,JF683746,0
AF457065,AF457065,0
JQ028251,JQ028251,0
AY945727,AY945727,0
AF443075,AF443075,0
JQ028251,JQ302736,0.0114947
GQ372204,GQ372204,0
DQ011178,DQ011178,0
FJ670521,FJ670521,0
AB428562,AB428562,0
JQ028252,JQ028252,0
AF457067,AF457067,0
AY945728,AY945728,0
JF683748,JF683748,0
FJ670522,FJ670522,0
DQ011179,DQ011179,0
GQ372208,GQ372208,0
GQ371807,GQ371807,0
AF443078,AF443078,0
EU581824,EU581824,0
AF457068,AF457068,0
FJ670524,FJ670524,0
JF683750,JF683750,0
AY945730,AY945730,0
DQ011180,DQ011180,0
JQ028253,JQ028253,0
GQ372210,GQ372210,0
EU581825,EU581825,0
GQ371810,GQ371810,0
FJ670525,FJ670525,0
JF683751,JF683751,0
AF457070,AF457070,0
AY945731,AY945731,0
JQ028254,JQ028254,0
AF443079,AF443079,0
EU581828,EU581828,0
GQ372213,GQ372213,0
DQ056405,DQ056405,0
JF683753,JF683753,0
FJ670530,FJ670530,0
GQ371811,GQ371811,0
JQ028255,JQ028255,0
JQ028255,JQ028359,0.0121733
DQ823356,DQ823356,0
DQ823356,DQ823360,0.0121512
AF457072,AF457072,0
FJ853622,FJ853622,0
AF443080,AF443080,0
FJ199970,FJ199970,0
JF683754,JF683754,0
JQ028256,JQ028256,0
GQ371812,GQ371812,0
DQ823357,DQ823357,0
DQ056406,DQ056406,0
GQ372990,GQ372990,0
JQ028257,JQ028257,0
GQ372215,GQ372215,0
JF683755,JF683755,0
JQ028257,JQ302652,0.0121889
AF443081,AF443081,0
AF457075,AF457075,0
DQ823358,DQ823358,0
JQ028259,JQ028259,0
GU362881,GU362881,0
DQ056409,DQ056409,0
GQ371813,GQ371813,0
JF683756,JF683756,0
EU786671,EU786671,0
AF443082,AF443082,0
GQ372216,GQ372216,0
JQ028260,JQ028260,0
GU362883,GU362883,0
DQ056410,DQ056410,0
JF683757,JF683757,0
AF457077,AF457077,0
GQ371814,GQ371814,0
JQ028263,JQ028263,0
DQ823359,DQ823359,0
DQ823359,DQ823360,0.0135293
DQ823359,DQ823361,0.0128509
GQ372217,GQ372217,0
AF443083,AF443083,0
EU786672,EU786672,0
DQ056411,DQ056411,0
JF683758,JF683758,0
JQ028264,JQ028264,0
AF457078,AF457078,0
GQ371819,GQ371819,0
GQ372218,GQ372218,0
GU362884,GU362884,0
JQ028265,JQ028265,0
AF443084,AF443084,0
EU786673,EU786673,0
DQ056414,DQ056414,0
EU786673,FJ670521,0.00605346
JF683759,JF683759,0
AF457080,AF457080,0
DQ823360,DQ823360,0
DQ823360,DQ823361,0.012155
GQ372229,GQ372229,0
JQ028266,JQ028266,0
GU362885,GU362885,0
EU786674,EU786674,0
DQ056415,DQ056415,0
AF443085,AF443085,0
DQ823360,EF589043,0.0128422
DQ823360,EF589044,0.0135391
AF457081,AF457081,0
JQ028269,JQ028269,0
GQ372232,GQ372232,0
DQ823361,DQ823361,0
DQ823361,DQ823367,0.0114672
GU733716,GU733716,0
GQ371821,GQ371821,0
EU786676,EU786676,0
DQ056416,DQ056416,0
DQ823361,EF589041,0.0135234
DQ823361,EF589042,0.0128418
DQ823361,EF589043,0.0101246
DQ823361,EF589044,0.0108238
JF683760,JF683760,0
JF683760,JF683761,0.00540802
HM026455,HM026455,0
AF457083,AF457083,0
GQ372233,GQ372233,0
DQ823362,DQ823362,0
AF443087,AF443087,0
EU786679,EU786679,0
DQ056417,DQ056417,0
JQ028271,JQ028271,0
JF683761,JF683761,0
HM026456,HM026456,0
GQ371822,GQ371822,0
GQ372235,GQ372235,0
AF457085,AF457085,0
DQ823364,DQ823364,0
EU786680,EU786680,0
JF683765,JF683765,0
JF683765,JF683791,0.00673994
JF683765,JF683808,0.0101081
HM026458,HM026458,0
EU786680,FJ670524,0.00606451
JQ028272,JQ028272,0
DQ056418,DQ056418,0
GQ371825,GQ371825,0
AF443088,AF443088,0
AF457086,AF457086,0
DQ823365,DQ823365,0
JF683767,JF683767,0
HM026460,HM026460,0
EU786681,EU786681,0
JQ028276,JQ028276,0
GQ371826,GQ371826,0
JF683768,JF683768,0
AF443089,AF443089,0
GQ372242,GQ372242,0
AB547464,AB547464,0
JQ028277,JQ028277,0
DQ823367,DQ823367,0
AF457088,AF457088,0
EU293445,EU293445,0
DQ093585,DQ093585,0
DQ823367,EF589043,0.0121509
DQ823367,EF589044,0.0128453
HM067748,HM067748,0
JQ028278,JQ028278,0
JF683773,JF683773,0
GQ371832,GQ371832,0
AF443090,AF443090,0
DQ383746,DQ383746,0
