ID1,ID2,Distance
GQ477449,GQ477449,0
AF457066,AF457066,0
AY945727,AY945727,0
JF689884,JF689884,0
JQ028225,JQ028225,0
GQ371790,GQ371790,0
GQ372186,GQ372186,0
AB428552,AB428552,0
GQ477449,GQ477450,0.00469676
DQ011174,DQ011174,0
AF061642,AF061642,0
JQ028226,JQ028226,0
GQ477450,GQ477450,0
AY945728,AY945728,0
JF689885,JF689885,0
AF457067,AF457067,0
GQ371792,GQ371792,0
DQ011175,DQ011175,0
AB428553,AB428553,0
AB428553,AB428554,0.00538141
JQ028227,JQ028227,0
JQ028227,JQ028346,0.0101361
JQ028227,JQ028366,0.0149453
JQ028227,JQ302682,0.0163207
JQ028227,JQ302723,0.0163037
JQ028227,JQ302744,0.0156318
JQ028227,JQ302753,0.0156236
JQ028227,JX112811,0.0155814
JQ028227,JX112822,0.014235
JQ028227,JX112826,0.0135435
JQ028227,JX112832,0.0169816
JQ028227,JX112857,0.0156413
GQ477451,GQ477451,0
JF689886,JF689886,0
GQ372187,GQ372187,0
GQ371793,GQ371793,0
AY945730,AY945730,0
DQ011176,DQ011176,0
AB428554,AB428554,0
HM030559,HM030559,0
JF689889,JF689889,0
AF063223,AF063223,0
GQ372188,GQ372188,0
GQ371796,GQ371796,0
JQ028228,JQ028228,0
AY945731,AY945731,0
DQ011177,DQ011177,0
AF457068,AF457068,0
JF689890,JF689890,0
HM030560,HM030560,0
AB428555,AB428555,0
JQ028228,JQ302629,0.0149022
AF063224,AF063224,0
JQ028229,JQ028229,0
GQ372189,GQ372189,0
HM030561,HM030561,0
GQ371797,GQ371797,0
AF457069,AF457069,0
AY945732,AY945732,0
JF689892,JF689892,0
JQ028230,JQ028230,0
JQ028230,JQ028231,0.0108251
AB428556,AB428556,0
HM030562,HM030562,0
AF110961,AF110961,0
DQ011178,DQ011178,0
GQ371798,GQ371798,0
AF457070,AF457070,0
JQ028231,JQ028231,0
GQ372193,GQ372193,0
HM030563,HM030563,0
JF689893,JF689893,0
AY945733,AY945733,0
AB428557,AB428557,0
JQ028232,JQ028232,0
AF110973,AF110973,0
DQ011179,DQ011179,0
GQ371799,GQ371799,0
AF457072,AF457072,0
AY945733,FJ185255,0.0169685
JF689894,JF689894,0
JQ028234,JQ028234,0
JQ028234,JQ028326,0.0121593
HM030564,HM030564,0
JQ028234,JQ302594,0.0135578
JQ028234,JQ302660,0.0149571
AB428558,AB428558,0
AB428558,AB428559,0.00335502
AB428558,AB428560,0.00336447
AB428558,AB428561,0.0149117
AB428558,AB428562,0.00741514
DQ011180,DQ011180,0
GQ372194,GQ372194,0
GQ371801,GQ371801,0
AY945734,AY945734,0
AF457075,AF457075,0
JQ028235,JQ028235,0
HM030565,HM030565,0
AB428559,AB428559,0
AB428559,AB428560,0.00134352
AB428559,AB428561,0.0128612
AB428559,AB428562,0.00673355
GQ372195,GQ372195,0
JF689895,JF689895,0
DQ056404,DQ056404,0
AF110980,AF110980,0
JQ028236,JQ028236,0
JQ028236,JQ028257,0.0128732
DQ789392,DQ789392,0
AF457077,AF457077,0
JF689896,JF689896,0
JQ028237,JQ028237,0
DQ056405,DQ056405,0
GQ372200,GQ372200,0
JQ028237,JQ302600,0.0149862
AF443074,AF443074,0
GQ371802,GQ371802,0
FJ670517,FJ670517,0
DQ823356,DQ823356,0
DQ823356,DQ823359,0.0162893
DQ823356,DQ823360,0.0121512
DQ823356,DQ823361,0.0149127
JF689897,JF689897,0
AB428560,AB428560,0
AB428560,AB428561,0.012886
AB428560,AB428562,0.00675177
AF457078,AF457078,0
DQ056406,DQ056406,0
DQ823356,EF589043,0.0155985
DQ823356,EF589044,0.0163076
GQ372201,GQ372201,0
JQ028238,JQ028238,0
FJ670518,FJ670518,0
GQ175881,GQ175881,0
AF443075,AF443075,0
GQ371803,GQ371803,0
DQ823357,DQ823357,0
DQ823357,DQ823361,0.014887
AF457079,AF457079,0
GQ372202,GQ372202,0
DQ056408,DQ056408,0
DQ823357,EF589043,0.0169546
FJ670519,FJ670519,0
AB428561,AB428561,0
JQ028239,JQ028239,0
JQ028239,JQ028330,0.0169633
JQ028239,JQ901043,0.014921
AF443076,AF443076,0
JQ028239,JQ901085,0.0142249
JQ028239,JQ302575,0.00607765
DQ823358,DQ823358,0
DQ823358,DQ823361,0.0155816
DQ823358,DQ823367,0.016255
GQ371804,GQ371804,0
AF457080,AF457080,0
FJ670519,KX228815,0
FJ670520,FJ670520,0
GQ175882,GQ175882,0
DQ823358,EF589043,0.0148933
DQ823358,EF589044,0.0155929
JQ028240,JQ028240,0
GQ372203,GQ372203,0
JQ028240,JQ028351,0.0163008
AB428562,AB428562,0
GQ371806,GQ371806,0
DQ823359,DQ823359,0
DQ823359,DQ823360,0.0135293
DQ823359,DQ823361,0.0128509
DQ823359,DQ823367,0.0162725
AF443077,AF443077,0
FJ670521,FJ670521,0
GQ175883,GQ175883,0
DQ056409,DQ056409,0
JQ028241,JQ028241,0
EU581824,EU581824,0
DQ823359,EF589043,0.0149175
DQ823359,EF589044,0.0156243
JQ028242,JQ028242,0
JF683736,JF683736,0
FJ670522,FJ670522,0
GQ371807,GQ371807,0
DQ823360,DQ823360,0
DQ823360,DQ823361,0.012155
DQ823360,DQ823367,0.0142013
AF443078,AF443078,0
DQ056410,DQ056410,0
AF457081,AF457081,0
EU581825,EU581825,0
GQ372204,GQ372204,0
JQ028243,JQ028243,0
DQ823360,EF589041,0.0162732
DQ823360,EF589042,0.0155858
DQ823360,EF589043,0.0128422
DQ823360,EF589044,0.0135391
FJ670524,FJ670524,0
JQ028243,JQ302578,0.0135456
JQ028243,JQ302691,0.0156208
JQ028243,JQ302734,0.00672867
DQ056411,DQ056411,0
JF683737,JF683737,0
JQ028244,JQ028244,0
AF443079,AF443079,0
EU581827,EU581827,0
AF457083,AF457083,0
JQ028244,JQ302656,0.0107938
JQ028244,JQ302657,0.00945296
GQ372208,GQ372208,0
FJ670525,FJ670525,0
DQ823361,DQ823361,0
DQ823361,DQ823365,0.0141985
DQ823361,DQ823367,0.0114672
JQ028245,JQ028245,0
DQ056412,DQ056412,0
JF683738,JF683738,0
GQ371808,GQ371808,0
JQ028245,JQ302580,0.0142092
JQ028245,JQ302635,0.0121539
JQ028245,JQ302681,0.0136033
EU581828,EU581828,0
DQ823361,EF589039,0.0169662
DQ823361,EF589040,0.0148996
DQ823361,EF589041,0.0135234
DQ823361,EF589042,0.0128418
DQ823361,EF589043,0.0101246
DQ823361,EF589044,0.0108238
GQ372209,GQ372209,0
AF443080,AF443080,0
FJ670530,FJ670530,0
JQ028246,JQ028246,0
DQ823362,DQ823362,0
DQ056413,DQ056413,0
AF457084,AF457084,0
FJ853620,FJ853620,0
GQ371810,GQ371810,0
FJ199970,FJ199970,0
JQ028247,JQ028247,0
GQ372210,GQ372210,0
AF443081,AF443081,0
JF683739,JF683739,0
DQ823363,DQ823363,0
DQ823363,DQ823364,0.014201
DQ056414,DQ056414,0
JQ028248,JQ028248,0
GQ372213,GQ372213,0
GQ371811,GQ371811,0
AF457085,AF457085,0
EU786671,EU786671,0
JF683740,JF683740,0
JQ028249,JQ028249,0
DQ056415,DQ056415,0
DQ823364,DQ823364,0
AF443082,AF443082,0
FJ853622,FJ853622,0
JF683742,JF683742,0
GQ372214,GQ372214,0
GQ371812,GQ371812,0
AF457086,AF457086,0
FJ853622,KY465968,0.0163138
DQ056416,DQ056416,0
GQ372988,GQ372988,0
DQ823365,DQ823365,0
DQ823365,DQ823367,0.0148942
AF443083,AF443083,0
JQ028250,JQ028250,0
EU786672,EU786672,0
JF683743,JF683743,0
JF683743,JF683746,0.00471936
JF683743,JF683809,0.00607159
DQ823365,EF589040,0.0169667
DQ823365,EF589041,0.0169818
DQ823365,EF589042,0.0162855
DQ823365,EF589043,0.0148948
DQ823365,EF589044,0.0155906
AF457088,AF457088,0
GQ372990,GQ372990,0
GQ372215,GQ372215,0
DQ823366,DQ823366,0
JF683745,JF683745,0
JQ028251,JQ028251,0
GQ371813,GQ371813,0
EU786673,EU786673,0
JQ028251,JQ302736,0.0114947
GU362881,GU362881,0
AF457089,AF457089,0
EU786673,FJ670521,0.00605346
DQ056417,DQ056417,0
AF443084,AF443084,0
DQ823367,DQ823367,0
JQ028252,JQ028252,0
JQ028252,JQ028392,0.00537746
GQ372216,GQ372216,0
JF683746,JF683746,0
JF683746,JF683809,0.0114788
JQ028252,JQ302597,0.0156017
JQ028252,JQ302753,0.0149431
JQ028252,JX112811,0.0149021
JQ028252,JX112832,0.0163011
GU362883,GU362883,0
JQ028252,KP178420,0.0149934
GQ371814,GQ371814,0
AF457090,AF457090,0
JQ028253,JQ028253,0
DQ056418,DQ056418,0
AF443085,AF443085,0
EU786674,EU786674,0
GU362884,GU362884,0
GQ372217,GQ372217,0
DQ823367,EF589041,0.0169509
DQ823367,EF589042,0.0148849
DQ823367,EF589043,0.0121509
DQ823367,EF589044,0.0128453
JF683747,JF683747,0
JQ028254,JQ028254,0
GQ371816,GQ371816,0
DQ093585,DQ093585,0
DQ383746,DQ383746,0
AY093603,AY093603,0
AF443086,AF443086,0
GQ372218,GQ372218,0
GU362885,GU362885,0
JQ028255,JQ028255,0
JQ028255,JQ028359,0.0121733
JF683748,JF683748,0
JQ028255,JX112826,0.0169702
JQ028256,JQ028256,0
GU733716,GU733716,0
GQ371817,GQ371817,0
GQ372219,GQ372219,0
DQ383748,DQ383748,0
DQ093586,DQ093586,0
JF683749,JF683749,0
EU786675,EU786675,0
AF443087,AF443087,0
HM026455,HM026455,0
GQ371819,GQ371819,0
JQ028257,JQ028257,0
JF683750,JF683750,0
DQ383749,DQ383749,0
AY093604,AY093604,0
JQ028257,JQ302652,0.0121889
DQ093587,DQ093587,0
EU786676,EU786676,0
HM026456,HM026456,0
JQ028258,JQ028258,0
JF683751,JF683751,0
GQ371820,GQ371820,0
DQ383750,DQ383750,0
DQ093588,DQ093588,0
AY093605,AY093605,0
HM026457,HM026457,0
EU786677,EU786677,0
JQ028259,JQ028259,0
