ID1,ID2,Distance
AY772690,AY901971,0.0444203
AY734556,AB254153,0.0473248
AF063223,AF377954,0.0408403
AY772690,AY901975,0.0488742
EF514706,FJ469685,0.0474794
AF063223,L39106,0.0474592
AF063223,AB052867,0.0496301
AY772690,DQ275646,0.0496516
AY772690,DQ275652,0.0489601
AY772690,DQ351216,0.0477305
AF484499,AF484505,0.0474696
AY734556,AY585264,0.047512
AY772690,DQ396391,0.0473597
EF514706,FJ647145,0.037391
AY734556,AY901971,0.0445371
AY734556,AY901980,0.0481941
AY734556,DQ056417,0.0475565
AY772690,EF514713,0.049571
AY734556,DQ164107,0.0489627
AY772690,FJ199970,0.0487352
AY772690,EU293447,0.04436
AY734556,DQ396384,0.0445954
AY734556,DQ396391,0.0474986
EF514706,GQ371994,0.0485703
AY734556,EF514713,0.0453245
GQ372174,HQ026632,0.0496926
AY734556,EU293444,0.0489159
AF063223,AB286859,0.040139
AY734556,EU293447,0.0474328
GQ372174,JF689890,0.0459637
AF484499,AY304496,0.0466855
EF514706,HQ026536,0.049704
EF514706,HQ026543,0.0497601
EF514706,HQ026548,0.0467893
EF514706,HQ026553,0.0491148
EF514706,HQ026564,0.0490497
GQ372174,JQ316131,0.0497586
EF514706,HQ026626,0.0475286
GQ277610,JQ302574,0.0496685
EF514706,JN944946,0.0482416
EF514706,JQ316131,0.0490047
AY772690,KF716466,0.0495467
AF063223,GU201499,0.0489086
AY772690,KY658708,0.044534
AY734556,KF716466,0.0488964
AY734556,KP109485,0.0482553
AY734556,KY658708,0.038783
AF063223,JN248581,0.0444866
GQ372174,KF384809,0.0345001
AF484499,KF716481,0.0437411
EF514706,AB874148,0.0480296
AY772690,KM049902,0.0476166
EF514706,KF384809,0.0445443
AY772690,KM049926,0.0460949
GQ277610,KR019771,0.0416574
AY772690,KM050076,0.0495899
AY734556,KM049902,0.044636
AY734556,KM049919,0.0483378
AY734556,KM049926,0.035721
AY734556,KM050069,0.0442044
AY734556,KM050076,0.0460678
AY734556,KM050080,0.0491846
AY734556,KM050132,0.0410396
AY772690,KM050631,0.0496829
AY734556,KM050323,0.0490056
AY734556,KM050327,0.0462107
AY734556,KM050354,0.0466938
AY772690,KM050739,0.0450604
AY734556,KM050370,0.0496144
AY772690,KM050756,0.0491713
AY734556,KM050388,0.0490797
AY734556,KM050401,0.0474561
AY734556,KM050441,0.0472065
AY734556,KM050512,0.04504
AY734556,KM050539,0.0498468
AY734556,KM050540,0.0496449
AY734556,KM050631,0.0424697
AY734556,KM050650,0.049222
AY734556,KM050687,0.0463301
AY734556,KM050690,0.0489282
EF514706,KJ140267,0.0499587
AY734556,KM050708,0.0465498
AY734556,KM050739,0.0319985
AY734556,KM050740,0.0420322
AY734556,KM050756,0.0486121
GQ277610,KU050225,0.0495404
GQ372174,KX505572,0.047548
GQ372174,KJ704792,0.0424757
GQ372185,GQ372200,0.0491082
AY772690,KX907375,0.048095
AY734556,KX907375,0.0452903
EF514706,KJ704792,0.040404
AF063223,KX389624,0.0452151
GQ372185,GQ372219,0.0476728
AY734556,KX907407,0.0458891
JN692472,KF384809,0.0490027
AF063223,KX389644,0.0465416
AY734556,KX907415,0.0490186
GQ372185,GQ372251,0.0472335
FJ864679,JX500696,0.046691
AY734556,KX907425,0.0474385
GQ372185,GQ372280,0.0448772
EF514708,FJ469685,0.0424399
FJ864679,KF716492,0.0497676
JN692472,KJ704792,0.0439758
AY772692,AY901971,0.047374
JF320053,KF384809,0.0443386
GQ372185,HQ026531,0.0492272
EF514708,FJ469695,0.0483497
AY772692,DQ351216,0.0489221
GQ372185,HQ026536,0.0464079
FJ864679,EF589039,0.0323891
GU177863,HQ026522,0.0482491
AF443080,AY162225,0.0479846
EF514708,FJ469754,0.0473435
JN692473,JQ316128,0.0479707
JF320053,KJ704792,0.0422944
GQ372185,HQ026543,0.0464764
FJ864679,EF589041,0.0331482
GU177863,HQ026531,0.0495136
JN692473,JQ316131,0.0480002
EF514708,FJ388912,0.0482641
