ID1,ID2,Distance
FJ388936,FJ388936,0
GU201500,GU201500,0
GQ372110,GQ372110,0
AY878068,AY878068,0
JF320316,JF320316,0
AF457079,AF457079,0
AF061642,AF061642,0
AY945713,AY945713,0
EF514698,EF514698,0
JN692467,JN692467,0
JF320356,JF320356,0
GU201504,GU201504,0
GQ372114,GQ372114,0
FJ388938,FJ388938,0
AY878070,AY878070,0
AF457086,AF457086,0
AF063224,AF063224,0
AY945717,AY945717,0
EF514701,EF514701,0
JF320366,JF320366,0
GU201508,GU201508,0
JN692470,JN692470,0
AF110961,AF110961,0
AY945718,AY945718,0
JF320413,JF320413,0
EF514702,EF514702,0
GU201512,GU201512,0
GQ372115,GQ372115,0
JN692471,JN692471,0
JF320427,JF320427,0
AY945719,AY945719,0
GU201513,GU201513,0
AF457088,AF457088,0
AY878071,AY878071,0
JN692473,JN692473,0
EF514703,EF514703,0
AF110973,AF110973,0
FJ388949,FJ388949,0
GQ372122,GQ372122,0
JF320437,JF320437,0
GU201514,GU201514,0
JN106043,JN106043,0
AY945721,AY945721,0
AY901966,AY901966,0
FJ388952,FJ388952,0
JF320467,JF320467,0
FJ388952,JF683776,0.00880769
EF514705,EF514705,0
GU201516,GU201516,0
GQ372125,GQ372125,0
JF320483,JF320483,0
AY945724,AY945724,0
AF457089,AF457089,0
FJ388955,FJ388955,0
AY901970,AY901970,0
JF939063,JF939063,0
GQ277610,GQ277610,0
EF514709,EF514709,0
GQ372128,GQ372128,0
JF320484,JF320484,0
FJ388958,FJ388958,0
AY945731,AY945731,0
AY093603,AY093603,0
AY901971,AY901971,0
GQ290462,GQ290462,0
JF320536,JF320536,0
EF514710,EF514710,0
GQ372130,GQ372130,0
FJ388959,FJ388959,0
FJ388959,FJ388962,0.0121537
AY945732,AY945732,0
AY901973,AY901973,0
JX500696,JX500696,0
AY093604,AY093604,0
EU743963,EU743963,0
JF320551,JF320551,0
EF514711,EF514711,0
FJ388961,FJ388961,0
AF110980,AF110980,0
AY945734,AY945734,0
AY901974,AY901974,0
JX500698,JX500698,0
JX500698,JX500704,0.00807556
FN392876,FN392876,0
AY093605,AY093605,0
JX500698,KJ197200,0.00876222
JX500698,KJ197201,0.0143318
JX500698,KJ197202,0.00971794
FJ388962,FJ388962,0
EF514712,EF514712,0
JX500704,JX500704,0
AF443075,AF443075,0
JF320563,JF320563,0
AY901975,AY901975,0
DQ789392,DQ789392,0
FJ861953,FJ861953,0
JX500704,KJ197200,0.0101176
JX500704,KJ197202,0.0117625
AY093607,AY093607,0
JX500707,JX500707,0
FJ388965,FJ388965,0
EF514713,EF514713,0
GQ358531,GQ358531,0
AY901978,AY901978,0
AF443078,AF443078,0
DQ823357,DQ823357,0
GQ372133,GQ372133,0
JX500708,JX500708,0
AY173954,AY173954,0
FJ647146,FJ647146,0
HM586212,HM586212,0
EU170136,EU170136,0
EU170136,EU170138,0.0136419
EU170136,EU170141,0.00745332
EU170136,EU170145,0.00678085
EU170136,EU170146,0.00816065
EU170136,EU170147,0.0101912
EU170136,EU170150,0.00747244
EU170136,EU170153,0.00814091
EU170136,EU170154,0.0095799
EU170136,EU170155,0.00542679
JF320594,JF320594,0
AY901979,AY901979,0
DQ823358,DQ823358,0
AF443082,AF443082,0
FJ900266,FJ900266,0
GQ372134,GQ372134,0
JF320639,JF320639,0
AY173955,AY173955,0
EU170138,EU170138,0
EU170138,EU170145,0.0121929
EU170138,EU170146,0.0128776
EU170138,EU170150,0.0128775
EU170138,EU170154,0.0122715
EU170138,EU170155,0.0115449
AY901980,AY901980,0
DQ823364,DQ823364,0
JQ028198,JQ028198,0
FJ900267,FJ900267,0
AF443084,AF443084,0
GQ372141,GQ372141,0
JF689856,JF689856,0
AY173960,AY173960,0
DQ011166,DQ011166,0
EU170140,EU170140,0
EU170140,EU170154,0.012402
GQ371770,GQ371770,0
DQ823366,DQ823366,0
JF689857,JF689857,0
GQ372142,GQ372142,0
FJ694790,FJ694790,0
AF443087,AF443087,0
JQ028202,JQ028202,0
JF689862,JF689862,0
AJ519489,AJ519489,0
GQ371771,GQ371771,0
GQ372144,GQ372144,0
DQ823367,DQ823367,0
EU170141,EU170141,0
EU170141,EU170145,0.00945014
EU170141,EU170146,0.0108233
EU170141,EU170147,0.0142339
EU170141,EU170150,0.0101382
EU170141,EU170153,0.0114989
EU170141,EU170154,0.0129427
EU170141,EU170155,0.00879671
JQ028203,JQ028203,0
JQ028203,JQ302572,0.00335316
AF443090,AF443090,0
JQ028203,JQ302673,0.0108023
JF689863,JF689863,0
DQ011171,DQ011171,0
GQ845124,GQ845124,0
GQ372151,GQ372151,0
AY247251,AY247251,0
JQ028205,JQ028205,0
DQ383746,DQ383746,0
GQ371772,GQ371772,0
JF689865,JF689865,0
AF443093,AF443093,0
GQ845125,GQ845125,0
JQ028206,JQ028206,0
JQ028206,JQ028236,0.0135458
JQ028206,JQ028257,0.0087663
EU170145,EU170145,0
EU170145,EU170146,0.00539495
EU170145,EU170147,0.00877224
EU170145,EU170150,0.00471567
EU170145,EU170153,0.0074175
EU170145,EU170154,0.00746598
EU170145,EU170155,0.00404572
GQ372152,GQ372152,0
JQ028206,JQ302652,0.0101506
AY247251,KT124770,0
AB097865,AB097865,0
JF689866,JF689866,0
GQ371773,GQ371773,0
DQ383749,DQ383749,0
JQ028207,JQ028207,0
GU564221,GU564221,0
DQ011173,DQ011173,0
AF443095,AF443095,0
GQ372153,GQ372153,0
AB097867,AB097867,0
JQ028208,JQ028208,0
GU564222,GU564222,0
GQ371776,GQ371776,0
JF689870,JF689870,0
EU170146,EU170146,0
EU170146,EU170147,0.00877903
EU170146,EU170150,0.00608336
EU170146,EU170153,0.00810619
EU170146,EU170154,0.00474351
EU170146,EU170155,0.00540683
DQ011174,DQ011174,0
GQ372157,GQ372157,0
AF443096,AF443096,0
JQ028210,JQ028210,0
JF689872,JF689872,0
AB097870,AB097870,0
GU564222,KP178420,0.0108791
GQ371777,GQ371777,0
DQ011175,DQ011175,0
EU170147,EU170147,0
EU170147,EU170150,0.00946268
EU170147,EU170153,0.00945765
EU170147,EU170154,0.0108794
EU170147,EU170155,0.00607961
JQ028211,JQ028211,0
DQ383750,DQ383750,0
JF689875,JF689875,0
AF443097,AF443097,0
GU564223,GU564223,0
GQ372165,GQ372165,0
AB097871,AB097871,0
GU564223,JQ302574,0.0135552
GU564223,JQ302682,0.0142355
JQ028213,JQ028213,0
GU564223,JX112832,0.0141978
EU170150,EU170150,0
EU170150,EU170153,0.00810609
EU170150,EU170154,0.00815802
EU170150,EU170155,0.00472891
JF689877,JF689877,0
GU564224,GU564224,0
DQ011178,DQ011178,0
DQ383751,DQ383751,0
AF443098,AF443098,0
GQ371783,GQ371783,0
JQ028216,JQ028216,0
AB097872,AB097872,0
JF689885,JF689885,0
EU170153,EU170153,0
EU170153,EU170154,0.00952339
EU170153,EU170155,0.000672341
GU564225,GU564225,0
GQ372168,GQ372168,0
JQ028218,JQ028218,0
GU564225,JX112826,0.0121817
AB220948,AB220948,0
JF689886,JF689886,0
GQ371784,GQ371784,0
AF529572,AF529572,0
AF443100,AF443100,0
GU564228,GU564228,0
JQ028219,JQ028219,0
AB220948,U54771,0.0128556
EU170154,EU170154,0
EU170154,EU170155,0.0061212
JF689893,JF689893,0
AB253421,AB253421,0
DQ011179,DQ011179,0
JQ028224,JQ028224,0
GQ371787,GQ371787,0
AF443104,AF443104,0
AF529573,AF529573,0
GQ477442,GQ477442,0
GQ372173,GQ372173,0
EU170155,EU170155,0
JF689895,JF689895,0
JQ028225,JQ028225,0
AB253429,AB253429,0
DQ056408,DQ056408,0
GQ371789,GQ371789,0
GQ372174,GQ372174,0
JF689896,JF689896,0
AF443105,AF443105,0
JQ028226,JQ028226,0
EF175209,EF175209,0
DQ056410,DQ056410,0
AB253656,AB253656,0
GQ371797,GQ371797,0
JF689897,JF689897,0
GQ372179,GQ372179,0
JQ028229,JQ028229,0
